                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999989 |  9355256040 |  3527744266 |  2176764598
  Cycles                             |  6741317944 |  6741320254 |  6741320415 |  6741320462
  IPC                                |        0.04 |        1.39 |        0.52 |        0.32
  Time (ns)                          |  2247105982 |  2247106752 |  2247106805 |  2247106821
Branch predictor stats               |             |             |             |            
  num correct                        |    43244780 |   430806133 |     4600900 |   116092662
  num incorrect                      |    11689069 |     3583519 |       77970 |     2716250
  misprediction rate                 |      21.28% |       0.82% |       1.67% |       2.29%
  mpki                               |       46.76 |        0.38 |        0.02 |        1.25
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    23761816 |   715712245 |   404073745 |   217344999
    num misses                       |           3 |          43 |           6 |          47
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    88558906 |  5383329927 |  2638978767 |   757342984
    num misses                       |    21159976 |      726520 |    95247914 |     1161478
    miss rate                        |      23.89% |       0.01% |       3.61% |       0.15%
    mpki                             |       84.64 |        0.08 |       27.00 |        0.53
  L2 TLB                             |             |             |             |            
    num accesses                     |    21159979 |      726563 |    95247920 |     1161525
    num misses                       |    10898738 |      208398 |    67985943 |      358447
    miss rate                        |      51.51% |      28.68% |      71.38% |      30.86%
    mpki                             |       43.59 |        0.02 |       19.27 |        0.16
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    23761816 |   715712245 |   404073745 |   217344999
    num cache misses                 |      117180 |      485663 |     1537698 |      190478
    miss rate                        |       0.49% |       0.07% |       0.38% |       0.09%
    mpki                             |        0.47 |        0.05 |        0.44 |        0.09
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    88558906 |  5383329927 |  2638978767 |   757342984
    num cache misses                 |    28806772 |    49030653 |    29664686 |    26899575
    miss rate                        |      32.53% |       0.91% |       1.12% |       3.55%
    mpki                             |      115.23 |        5.24 |        8.41 |       12.36
  Cache L2                           |             |             |             |            
    num cache accesses               |    32807912 |    49548856 |    31350544 |    31235115
    num cache misses                 |    22782118 |    30049624 |    21744609 |    21516114
    miss rate                        |      69.44% |      60.65% |      69.36% |      68.88%
    mpki                             |       91.13 |        3.21 |        6.16 |        9.88
  Cache L3                           |             |             |             |            
    num cache accesses               |    26708985 |    30084419 |    21893325 |    25911201
    num cache misses                 |    19943187 |     9351445 |    20975541 |    20950420
    miss rate                        |      74.67% |      31.08% |      95.81% |      80.85%
    mpki                             |       79.77 |        1.00 |        5.95 |        9.62
DRAM summary                         |             |             |             |            
  num dram accesses                  |    98967997 |           0 |           0 |           0
  average dram access latency (ns)   |      279.80 |         inf |         inf |         inf
  average dram queueing delay        |      159.78 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      88.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
