                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999898 |   865468929 |   529432345 |  1255801076
  Cycles                             |  1039321381 |  1039323909 |  1039323972 |  1039323790
  IPC                                |        0.24 |        0.83 |        0.51 |        1.21
  Time (ns)                          |   346440461 |   346441303 |   346441324 |   346441264
Branch predictor stats               |             |             |             |            
  num correct                        |     4856955 |    43948660 |    32173693 |   100975400
  num incorrect                      |     6669357 |    33874219 |    19360847 |    16966670
  misprediction rate                 |      57.86% |      43.53% |      37.57% |      14.39%
  mpki                               |       26.68 |       39.14 |       36.57 |       13.51
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    27532058 |    68750161 |    63168349 |   183951275
    num misses                       |          14 |          52 |          10 |          65
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    93614435 |   252510965 |   243496201 |   602076091
    num misses                       |      661938 |       13871 |     1672273 |     3358714
    miss rate                        |       0.71% |       0.01% |       0.69% |       0.56%
    mpki                             |        2.65 |        0.02 |        3.16 |        2.67
  L2 TLB                             |             |             |             |            
    num accesses                     |      661952 |       13923 |     1672283 |     3358779
    num misses                       |      661946 |       12335 |     1328672 |       21568
    miss rate                        |     100.00% |      88.59% |      79.45% |       0.64%
    mpki                             |        2.65 |        0.01 |        2.51 |        0.02
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    27532058 |    68750161 |    63168349 |   183951275
    num cache misses                 |        9401 |       18106 |       23710 |     5459020
    miss rate                        |       0.03% |       0.03% |       0.04% |       2.97%
    mpki                             |        0.04 |        0.02 |        0.04 |        4.35
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    93614435 |   252510965 |   243496201 |   602076091
    num cache misses                 |     7293731 |      840281 |     3769557 |    19855798
    miss rate                        |       7.79% |       0.33% |       1.55% |       3.30%
    mpki                             |       29.17 |        0.97 |        7.12 |       15.81
  Cache L2                           |             |             |             |            
    num cache accesses               |     8247947 |      887479 |     4132934 |    25329464
    num cache misses                 |     7303076 |      824593 |     3192602 |      375469
    miss rate                        |      88.54% |      92.91% |      77.25% |       1.48%
    mpki                             |       29.21 |        0.95 |        6.03 |        0.30
  Cache L3                           |             |             |             |            
    num cache accesses               |     8247891 |      854380 |     3608436 |      392244
    num cache misses                 |     7292359 |      822393 |     1226941 |      310129
    miss rate                        |      88.41% |      96.26% |      34.00% |      79.07%
    mpki                             |       29.17 |        0.95 |        2.32 |        0.25
DRAM summary                         |             |             |             |            
  num dram accesses                  |    14164149 |           0 |           0 |           0
  average dram access latency (ns)   |      240.96 |         inf |         inf |         inf
  average dram queueing delay        |      120.94 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      81.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
