                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999898 |  693989844 |  440664407 |  943230486
  Cycles                             |  683844791 |  683847000 |  683847060 |  683847100
  IPC                                |       0.37 |       1.01 |       0.64 |       1.38
  Time (ns)                          |  227948264 |  227949000 |  227949020 |  227949033
Branch predictor stats               |            |            |            |           
  num correct                        |    4856955 |   32513037 |   26763082 |   75872727
  num incorrect                      |    6669357 |   28236442 |   16104507 |   12729598
  misprediction rate                 |     57.86% |     46.48% |     37.57% |     14.37%
  mpki                               |      26.68 |      40.69 |      36.55 |      13.50
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   27532058 |   53091397 |   52520674 |  138210470
    num misses                       |         14 |         52 |         10 |         65
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   93614435 |  199478260 |  202698984 |  452123753
    num misses                       |     661938 |       9792 |    1380022 |    2534140
    miss rate                        |      0.71% |      0.00% |      0.68% |      0.56%
    mpki                             |       2.65 |       0.01 |       3.13 |       2.69
  L2 TLB                             |            |            |            |           
    num accesses                     |     661952 |       9844 |    1380032 |    2534205
    num misses                       |     661946 |       8543 |    1094066 |      15611
    miss rate                        |    100.00% |     86.78% |     79.28% |      0.62%
    mpki                             |       2.65 |       0.01 |       2.48 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   27532058 |   53091397 |   52520674 |  138210470
    num cache misses                 |      18607 |      16742 |      30258 |    4628073
    miss rate                        |      0.07% |      0.03% |      0.06% |      3.35%
    mpki                             |       0.07 |       0.02 |       0.07 |       4.91
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   93614435 |  199478260 |  202698984 |  452123753
    num cache misses                 |    7294563 |     591839 |    3143975 |   15255393
    miss rate                        |      7.79% |      0.30% |      1.55% |      3.37%
    mpki                             |      29.18 |       0.85 |       7.13 |      16.17
  Cache L2                           |            |            |            |           
    num cache accesses               |    8257970 |     632799 |    3472802 |   19892154
    num cache misses                 |    7313170 |     582795 |    2955555 |    3150555
    miss rate                        |     88.56% |     92.10% |     85.11% |     15.84%
    mpki                             |      29.25 |       0.84 |       6.71 |       3.34
  Cache L3                           |            |            |            |           
    num cache accesses               |    8257970 |     607460 |    3289916 |    3160475
    num cache misses                 |    7292060 |     578489 |    1068243 |     180283
    miss rate                        |     88.30% |     95.23% |     32.47% |      5.70%
    mpki                             |      29.17 |       0.83 |       2.42 |       0.19
DRAM summary                         |            |            |            |           
  num dram accesses                  |   13313986 |          0 |          0 |          0
  average dram access latency (ns)   |     131.64 |        inf |        inf |        inf
  average dram queueing delay        |      21.63 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     58.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
