                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999898 |  694319780 |  440173368 |  907310280
  Cycles                             |  685128320 |  685131300 |  685131000 |  685131067
  IPC                                |       0.36 |       1.01 |       0.64 |       1.32
  Time (ns)                          |  228376107 |  228377100 |  228377000 |  228377023
Branch predictor stats               |            |            |            |           
  num correct                        |    4856955 |   32595525 |   26735031 |   73046569
  num incorrect                      |    6669357 |   28236442 |   16088366 |   12243649
  misprediction rate                 |     57.86% |     46.42% |     37.57% |     14.36%
  mpki                               |      26.68 |      40.67 |      36.55 |      13.49
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   27532058 |   53091397 |   52464716 |  132986804
    num misses                       |         14 |         52 |         10 |         65
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   93614435 |  199560743 |  202472307 |  435035722
    num misses                       |     661938 |       9872 |    1378658 |    2439290
    miss rate                        |      0.71% |      0.00% |      0.68% |      0.56%
    mpki                             |       2.65 |       0.01 |       3.13 |       2.69
  L2 TLB                             |            |            |            |           
    num accesses                     |     661952 |       9924 |    1378668 |    2439355
    num misses                       |     661946 |       8623 |    1093039 |      15160
    miss rate                        |    100.00% |     86.89% |     79.28% |      0.62%
    mpki                             |       2.65 |       0.01 |       2.48 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   27532058 |   53091397 |   52464716 |  132986804
    num cache misses                 |       9372 |      15447 |      20509 |    3978593
    miss rate                        |      0.03% |      0.03% |      0.04% |      2.99%
    mpki                             |       0.04 |       0.02 |       0.05 |       4.39
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   93614435 |  199560743 |  202472307 |  435035722
    num cache misses                 |    7293671 |     596808 |    3135171 |   14378840
    miss rate                        |      7.79% |      0.30% |      1.55% |      3.31%
    mpki                             |      29.17 |       0.86 |       7.12 |      15.85
  Cache L2                           |            |            |            |           
    num cache accesses               |    8247844 |     636558 |    3455005 |   18369813
    num cache misses                 |    7302987 |     585500 |    2659202 |     307775
    miss rate                        |     88.54% |     91.98% |     76.97% |      1.68%
    mpki                             |      29.21 |       0.84 |       6.04 |       0.34
  Cache L3                           |            |            |            |           
    num cache accesses               |    8247788 |     610388 |    3019003 |     321795
    num cache misses                 |    7291968 |     584019 |    1071985 |     265653
    miss rate                        |     88.41% |     95.68% |     35.51% |     82.55%
    mpki                             |      29.17 |       0.84 |       2.44 |       0.29
DRAM summary                         |            |            |            |           
  num dram accesses                  |   13423029 |          0 |          0 |          0
  average dram access latency (ns)   |     131.95 |        inf |        inf |        inf
  average dram queueing delay        |      21.94 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     58.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
