                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999898 |  697550679 |  359962711 |  831210443
  Cycles                             |  705848499 |  705851525 |  705851404 |  705851168
  IPC                                |       0.35 |       0.99 |       0.51 |       1.18
  Time (ns)                          |  235282833 |  235283842 |  235283801 |  235283723
Branch predictor stats               |            |            |            |           
  num correct                        |    4856955 |   33403213 |   21846834 |   66926382
  num incorrect                      |    6669357 |   28236445 |   13146437 |   11246696
  misprediction rate                 |     57.86% |     45.81% |     37.57% |     14.39%
  mpki                               |      26.68 |      40.48 |      36.52 |      13.53
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   27532058 |   53091455 |   42897599 |  121844920
    num misses                       |         14 |         52 |         10 |         65
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   93614435 |  200368504 |  165842703 |  398747539
    num misses                       |     661938 |      10670 |    1118976 |    2228308
    miss rate                        |      0.71% |      0.01% |      0.67% |      0.56%
    mpki                             |       2.65 |       0.02 |       3.11 |       2.68
  L2 TLB                             |            |            |            |           
    num accesses                     |     661952 |      10722 |    1118986 |    2228373
    num misses                       |     661946 |       9419 |     887486 |      14399
    miss rate                        |    100.00% |     87.85% |     79.31% |      0.65%
    mpki                             |       2.65 |       0.01 |       2.47 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   27532058 |   53091455 |   42897599 |  121844920
    num cache misses                 |      17475 |      24257 |      19136 |    3641996
    miss rate                        |      0.06% |      0.05% |      0.04% |      2.99%
    mpki                             |       0.07 |       0.03 |       0.05 |       4.38
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   93614435 |  200368504 |  165842703 |  398747539
    num cache misses                 |    7363008 |     675274 |    2623914 |   13316195
    miss rate                        |      7.87% |      0.34% |      1.58% |      3.34%
    mpki                             |      29.45 |       0.97 |       7.29 |      16.02
  Cache L2                           |            |            |            |           
    num cache accesses               |    8324936 |     738820 |    3049504 |   16985011
    num cache misses                 |    7380443 |     667776 |    2265228 |     569266
    miss rate                        |     88.65% |     90.38% |     74.28% |      3.35%
    mpki                             |      29.52 |       0.96 |       6.29 |       0.68
  Cache L3                           |            |            |            |           
    num cache accesses               |    8324896 |     707819 |    2714693 |     600055
    num cache misses                 |    7370625 |     666323 |    1423776 |     511073
    miss rate                        |     88.54% |     94.14% |     52.45% |     85.17%
    mpki                             |      29.48 |       0.96 |       3.96 |       0.61
DRAM summary                         |            |            |            |           
  num dram accesses                  |   14411238 |          0 |          0 |          0
  average dram access latency (ns)   |     131.56 |        inf |        inf |        inf
  average dram queueing delay        |      21.55 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     61.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
