                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999898 |   867486202 |   638808884 |  1465996634
  Cycles                             |  1020810333 |  1020813671 |  1020813613 |  1020813663
  IPC                                |        0.24 |        0.85 |        0.63 |        1.44
  Time (ns)                          |   340270111 |   340271224 |   340271204 |   340271221
Branch predictor stats               |             |             |             |            
  num correct                        |     4856955 |    43999157 |    38800365 |   117863400
  num incorrect                      |     6669357 |    33973024 |    23349303 |    19791982
  misprediction rate                 |      57.86% |      43.57% |      37.57% |      14.38%
  mpki                               |       26.68 |       39.16 |       36.55 |       13.50
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    27532058 |    68876332 |    76167551 |   214759675
    num misses                       |          14 |          52 |          10 |          65
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    93614435 |   253048195 |   293933685 |   702760838
    num misses                       |      661938 |       13871 |     2002653 |     3926123
    miss rate                        |       0.71% |       0.01% |       0.68% |       0.56%
    mpki                             |        2.65 |        0.02 |        3.13 |        2.68
  L2 TLB                             |             |             |             |            
    num accesses                     |      661952 |       13923 |     2002663 |     3926188
    num misses                       |      661946 |       12335 |     1589487 |       24903
    miss rate                        |     100.00% |      88.59% |      79.37% |       0.63%
    mpki                             |        2.65 |        0.01 |        2.49 |        0.02
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    27532058 |    68876332 |    76167551 |   214759675
    num cache misses                 |       10382 |        7654 |       28840 |     6334579
    miss rate                        |       0.04% |       0.01% |       0.04% |       2.95%
    mpki                             |        0.04 |        0.01 |        0.05 |        4.32
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    93614435 |   253048195 |   293933685 |   702760838
    num cache misses                 |     7294636 |      811750 |     4550608 |    23089498
    miss rate                        |       7.79% |       0.32% |       1.55% |       3.29%
    mpki                             |       29.18 |        0.94 |        7.12 |       15.75
  Cache L2                           |             |             |             |            
    num cache accesses               |     8250025 |      828092 |     4916663 |    29426981
    num cache misses                 |     7304976 |      785851 |     3839716 |      128939
    miss rate                        |      88.54% |      94.90% |      78.10% |       0.44%
    mpki                             |       29.22 |        0.91 |        6.01 |        0.09
  Cache L3                           |             |             |             |            
    num cache accesses               |     8249983 |      794929 |     4259514 |      132317
    num cache misses                 |     7296729 |      783968 |     1010450 |       76519
    miss rate                        |      88.45% |      98.62% |      23.72% |      57.83%
    mpki                             |       29.19 |        0.90 |        1.58 |        0.05
DRAM summary                         |             |             |             |            
  num dram accesses                  |    13666929 |           0 |           0 |           0
  average dram access latency (ns)   |      238.12 |         inf |         inf |         inf
  average dram queueing delay        |      118.10 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      80.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
