                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  394947668 |  503908034 |  249999979 |  347454044
  Cycles                             |  271229100 |  271228823 |  271226960 |  271228883
  IPC                                |       1.46 |       1.86 |       0.92 |       1.28
  Time (ns)                          |   90409700 |   90409608 |   90408987 |   90409628
Branch predictor stats               |            |            |            |           
  num correct                        |   16724549 |   92996603 |   38222132 |   31452789
  num incorrect                      |     952317 |    6344318 |    9793313 |    5339404
  misprediction rate                 |      5.39% |      6.39% |     20.40% |     14.51%
  mpki                               |       2.41 |      12.59 |      39.17 |      15.37
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   38263958 |   82628284 |   32523298 |   39614689
    num misses                       |          8 |         39 |         19 |        206
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  122857741 |  164223648 |   84159510 |  145379309
    num misses                       |      33199 |         23 |     372575 |      74505
    miss rate                        |      0.03% |      0.00% |      0.44% |      0.05%
    mpki                             |       0.08 |       0.00 |       1.49 |       0.21
  L2 TLB                             |            |            |            |           
    num accesses                     |      33207 |         62 |     372594 |      74711
    num misses                       |       1073 |         62 |      78122 |       2469
    miss rate                        |      3.23% |    100.00% |     20.97% |      3.30%
    mpki                             |       0.00 |       0.00 |       0.31 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   38263958 |   82628284 |   32523298 |   39614689
    num cache misses                 |       5544 |     804253 |     144044 |     504703
    miss rate                        |      0.01% |      0.97% |      0.44% |      1.27%
    mpki                             |       0.01 |       1.60 |       0.58 |       1.45
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  122857741 |  164223648 |   84159510 |  145379309
    num cache misses                 |    3330792 |      14951 |     340289 |    1103025
    miss rate                        |      2.71% |      0.01% |      0.40% |      0.76%
    mpki                             |       8.43 |       0.03 |       1.36 |       3.17
  Cache L2                           |            |            |            |           
    num cache accesses               |    3355929 |     821623 |     560019 |    1622599
    num cache misses                 |     136690 |      51122 |     188208 |     347894
    miss rate                        |      4.07% |      6.22% |     33.61% |     21.44%
    mpki                             |       0.35 |       0.10 |       0.75 |       1.00
  Cache L3                           |            |            |            |           
    num cache accesses               |     157147 |      53541 |     265765 |     366385
    num cache misses                 |     134363 |      51121 |     168330 |     244622
    miss rate                        |     85.50% |     95.48% |     63.34% |     66.77%
    mpki                             |       0.34 |       0.10 |       0.67 |       0.70
DRAM summary                         |            |            |            |           
  num dram accesses                  |     826254 |          0 |          0 |          0
  average dram access latency (ns)   |     111.44 |        inf |        inf |        inf
  average dram queueing delay        |       1.43 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
