                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  412303642 |  498770154 |  249999979 |  379628327
  Cycles                             |  253527265 |  253527314 |  253524507 |  253527188
  IPC                                |       1.63 |       1.97 |       0.99 |       1.50
  Time (ns)                          |   84509088 |   84509105 |   84508169 |   84509063
Branch predictor stats               |            |            |            |           
  num correct                        |   17494055 |   92048125 |   38222132 |   34370813
  num incorrect                      |    1008101 |    6279494 |    9793313 |    5893005
  misprediction rate                 |      5.45% |      6.39% |     20.40% |     14.64%
  mpki                               |       2.45 |      12.59 |      39.17 |      15.52
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   39835098 |   81786224 |   32523298 |   43348219
    num misses                       |          8 |         39 |         19 |        221
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  128092762 |  162548580 |   84159510 |  158954115
    num misses                       |      36310 |         23 |     372578 |      87663
    miss rate                        |      0.03% |      0.00% |      0.44% |      0.06%
    mpki                             |       0.09 |       0.00 |       1.49 |       0.23
  L2 TLB                             |            |            |            |           
    num accesses                     |      36318 |         62 |     372597 |      87884
    num misses                       |       1107 |         62 |      78123 |       2769
    miss rate                        |      3.05% |    100.00% |     20.97% |      3.15%
    mpki                             |       0.00 |       0.00 |       0.31 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   39835098 |   81786224 |   32523298 |   43348219
    num cache misses                 |        529 |     760472 |     107667 |     547386
    miss rate                        |      0.00% |      0.93% |      0.33% |      1.26%
    mpki                             |       0.00 |       1.52 |       0.43 |       1.44
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  128092762 |  162548580 |   84159510 |  158954115
    num cache misses                 |    3461037 |        774 |     309306 |    1160470
    miss rate                        |      2.70% |      0.00% |      0.37% |      0.73%
    mpki                             |       8.39 |       0.00 |       1.24 |       3.06
  Cache L2                           |            |            |            |           
    num cache accesses               |    3468980 |     761318 |     481970 |    1708676
    num cache misses                 |      41906 |       1983 |     101117 |      59725
    miss rate                        |      1.21% |      0.26% |     20.98% |      3.50%
    mpki                             |       0.10 |       0.00 |       0.40 |       0.16
  Cache L3                           |            |            |            |           
    num cache accesses               |      49343 |       2055 |     167249 |      60619
    num cache misses                 |      32636 |       1982 |      84514 |      19046
    miss rate                        |     66.14% |     96.45% |     50.53% |     31.42%
    mpki                             |       0.08 |       0.00 |       0.34 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |     187084 |          0 |          0 |          0
  average dram access latency (ns)   |     110.42 |        inf |        inf |        inf
  average dram queueing delay        |       0.41 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
