                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  411850705 |  498930905 |  249999979 |  379299341
  Cycles                             |  253590678 |  253590687 |  253588487 |  253590702
  IPC                                |       1.62 |       1.97 |       0.99 |       1.50
  Time (ns)                          |   84530226 |   84530229 |   84529496 |   84530234
Branch predictor stats               |            |            |            |           
  num correct                        |   17474885 |   92077755 |   38222132 |   34332579
  num incorrect                      |    1006558 |    6281520 |    9793313 |    5886497
  misprediction rate                 |      5.45% |      6.39% |     20.40% |     14.64%
  mpki                               |       2.44 |      12.59 |      39.17 |      15.52
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   39793790 |   81812581 |   32523298 |   43310129
    num misses                       |          8 |         39 |         19 |        221
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  127952841 |  162600991 |   84159510 |  158817007
    num misses                       |      36207 |         23 |     372576 |      87511
    miss rate                        |      0.03% |      0.00% |      0.44% |      0.06%
    mpki                             |       0.09 |       0.00 |       1.49 |       0.23
  L2 TLB                             |            |            |            |           
    num accesses                     |      36215 |         62 |     372595 |      87732
    num misses                       |       1106 |         62 |      78123 |       2767
    miss rate                        |      3.05% |    100.00% |     20.97% |      3.15%
    mpki                             |       0.00 |       0.00 |       0.31 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   39793790 |   81812581 |   32523298 |   43310129
    num cache misses                 |        529 |     760685 |     107707 |     545924
    miss rate                        |      0.00% |      0.93% |      0.33% |      1.26%
    mpki                             |       0.00 |       1.52 |       0.43 |       1.44
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  127952841 |  162600991 |   84159510 |  158817007
    num cache misses                 |    3456546 |        758 |     309402 |    1159985
    miss rate                        |      2.70% |      0.00% |      0.37% |      0.73%
    mpki                             |       8.39 |       0.00 |       1.24 |       3.06
  Cache L2                           |            |            |            |           
    num cache accesses               |    3464784 |     761519 |     482154 |    1706817
    num cache misses                 |      41872 |       1921 |     101321 |      60473
    miss rate                        |      1.21% |      0.25% |     21.01% |      3.54%
    mpki                             |       0.10 |       0.00 |       0.41 |       0.16
  Cache L3                           |            |            |            |           
    num cache accesses               |      49604 |       1997 |     167495 |      61452
    num cache misses                 |      33823 |       1920 |      84809 |      20086
    miss rate                        |     68.19% |     96.14% |     50.63% |     32.69%
    mpki                             |       0.08 |       0.00 |       0.34 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |     190401 |          0 |          0 |          0
  average dram access latency (ns)   |     110.43 |        inf |        inf |        inf
  average dram queueing delay        |       0.42 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
