                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  410445215 |  501337223 |  249999979 |  380936207
  Cycles                             |  255576761 |  255576689 |  255574646 |  255576854
  IPC                                |       1.61 |       1.96 |       0.98 |       1.49
  Time (ns)                          |   85192254 |   85192230 |   85191549 |   85192285
Branch predictor stats               |            |            |            |           
  num correct                        |   17416216 |   92521706 |   38222132 |   34457629
  num incorrect                      |    1001951 |    6311873 |    9793313 |    5906125
  misprediction rate                 |      5.44% |      6.39% |     20.40% |     14.63%
  mpki                               |       2.44 |      12.59 |      39.17 |      15.50
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   39666032 |   82207299 |   32523298 |   43506660
    num misses                       |          8 |         39 |         19 |        221
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  127515656 |  163385922 |   84159510 |  159519189
    num misses                       |      36045 |         23 |     372577 |      88222
    miss rate                        |      0.03% |      0.00% |      0.44% |      0.06%
    mpki                             |       0.09 |       0.00 |       1.49 |       0.23
  L2 TLB                             |            |            |            |           
    num accesses                     |      36053 |         62 |     372596 |      88443
    num misses                       |       1105 |         62 |      78123 |       2778
    miss rate                        |      3.06% |    100.00% |     20.97% |      3.14%
    mpki                             |       0.00 |       0.00 |       0.31 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   39666032 |   82207299 |   32523298 |   43506660
    num cache misses                 |        718 |     766234 |     109960 |     549466
    miss rate                        |      0.00% |      0.93% |      0.34% |      1.26%
    mpki                             |       0.00 |       1.53 |       0.44 |       1.44
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  127515656 |  163385922 |   84159510 |  159519189
    num cache misses                 |    3445531 |       1527 |     311708 |    1163439
    miss rate                        |      2.70% |      0.00% |      0.37% |      0.73%
    mpki                             |       8.39 |       0.00 |       1.25 |       3.05
  Cache L2                           |            |            |            |           
    num cache accesses               |    3455470 |     767968 |     488471 |    1714048
    num cache misses                 |      45813 |       4402 |     106705 |      64584
    miss rate                        |      1.33% |      0.57% |     21.84% |      3.77%
    mpki                             |       0.11 |       0.01 |       0.43 |       0.17
  Cache L3                           |            |            |            |           
    num cache accesses               |      55094 |       4609 |     174745 |      65828
    num cache misses                 |      43491 |       4375 |      93979 |      23823
    miss rate                        |     78.94% |     94.92% |     53.78% |     36.19%
    mpki                             |       0.11 |       0.01 |       0.38 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |     239867 |          0 |          0 |          0
  average dram access latency (ns)   |     110.52 |        inf |        inf |        inf
  average dram queueing delay        |       0.51 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
