                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  411418339 |  499406083 |  249999979 |  376721812
  Cycles                             |  253766565 |  253766486 |  253764525 |  253766515
  IPC                                |       1.62 |       1.97 |       0.99 |       1.48
  Time (ns)                          |   84588855 |   84588829 |   84588175 |   84588838
Branch predictor stats               |            |            |            |           
  num correct                        |   17457974 |   92165560 |   38222132 |   34099293
  num incorrect                      |    1005278 |    6287469 |    9793313 |    5845053
  misprediction rate                 |      5.44% |      6.39% |     20.40% |     14.63%
  mpki                               |       2.44 |      12.59 |      39.17 |      15.52
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   39753961 |   81890355 |   32523298 |   42991386
    num misses                       |          8 |         39 |         19 |        221
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  127813516 |  162755486 |   84159510 |  157692028
    num misses                       |      36123 |         23 |     372575 |      85304
    miss rate                        |      0.03% |      0.00% |      0.44% |      0.05%
    mpki                             |       0.09 |       0.00 |       1.49 |       0.23
  L2 TLB                             |            |            |            |           
    num accesses                     |      36131 |         62 |     372594 |      85525
    num misses                       |       1105 |         62 |      78123 |       2739
    miss rate                        |      3.06% |    100.00% |     20.97% |      3.20%
    mpki                             |       0.00 |       0.00 |       0.31 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   39753961 |   81890355 |   32523298 |   42991386
    num cache misses                 |        425 |     761272 |     102775 |     535590
    miss rate                        |      0.00% |      0.93% |      0.32% |      1.25%
    mpki                             |       0.00 |       1.52 |       0.41 |       1.42
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  127813516 |  162755486 |   84159510 |  157692028
    num cache misses                 |    3453850 |        676 |     308234 |    1157570
    miss rate                        |      2.70% |      0.00% |      0.37% |      0.73%
    mpki                             |       8.39 |       0.00 |       1.23 |       3.07
  Cache L2                           |            |            |            |           
    num cache accesses               |    3462599 |     762014 |     476175 |    1695864
    num cache misses                 |      40931 |       1702 |      92903 |      34366
    miss rate                        |      1.18% |      0.22% |     19.51% |      2.03%
    mpki                             |       0.10 |       0.00 |       0.37 |       0.09
  Cache L3                           |            |            |            |           
    num cache accesses               |      49290 |       1768 |     159222 |      37148
    num cache misses                 |      36006 |       1702 |      85582 |      31809
    miss rate                        |     73.05% |     96.27% |     53.75% |     85.63%
    mpki                             |       0.09 |       0.00 |       0.34 |       0.08
DRAM summary                         |            |            |            |           
  num dram accesses                  |     213782 |          0 |          0 |          0
  average dram access latency (ns)   |     110.44 |        inf |        inf |        inf
  average dram queueing delay        |       0.43 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
