                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  414408391 |  466350519 |  249999979 |  382212971
  Cycles                             |  256131380 |  256131021 |  256129016 |  256131257
  IPC                                |       1.62 |       1.82 |       0.98 |       1.49
  Time (ns)                          |   85377127 |   85377007 |   85376339 |   85377086
Branch predictor stats               |            |            |            |           
  num correct                        |   17590633 |   58646937 |   38222132 |   34516782
  num incorrect                      |    1015410 |    6581265 |    9793313 |    5912230
  misprediction rate                 |      5.46% |     10.09% |     20.40% |     14.62%
  mpki                               |       2.45 |      14.11 |      39.17 |      15.47
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   40023659 |   72109822 |   32523298 |   43656831
    num misses                       |          8 |        371 |         19 |        223
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  128712564 |  188775384 |   84159510 |  160073380
    num misses                       |      36913 |      55049 |     372542 |      88349
    miss rate                        |      0.03% |      0.03% |      0.44% |      0.06%
    mpki                             |       0.09 |       0.12 |       1.49 |       0.23
  L2 TLB                             |            |            |            |           
    num accesses                     |      36921 |      55420 |     372561 |      88572
    num misses                       |       1108 |       1817 |      78120 |       2779
    miss rate                        |      3.00% |      3.28% |     20.97% |      3.14%
    mpki                             |       0.00 |       0.00 |       0.31 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   40023659 |   72109822 |   32523298 |   43656831
    num cache misses                 |       5083 |    1537070 |     167515 |     618299
    miss rate                        |      0.01% |      2.13% |      0.52% |      1.42%
    mpki                             |       0.01 |       3.30 |       0.67 |       1.62
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  128712564 |  188775384 |   84159510 |  160073380
    num cache misses                 |    3480247 |    1456766 |     345616 |    1194400
    miss rate                        |      2.70% |      0.77% |      0.41% |      0.75%
    mpki                             |       8.40 |       3.12 |       1.38 |       3.12
  Cache L2                           |            |            |            |           
    num cache accesses               |    3493868 |    2999197 |     580217 |    1813453
    num cache misses                 |      77145 |     207695 |     230424 |     692588
    miss rate                        |      2.21% |      6.93% |     39.71% |     38.19%
    mpki                             |       0.19 |       0.45 |       0.92 |       1.81
  Cache L3                           |            |            |            |           
    num cache accesses               |      85731 |     213057 |     298668 |     693346
    num cache misses                 |      38529 |      40214 |      95902 |      19269
    miss rate                        |     44.94% |     18.87% |     32.11% |      2.78%
    mpki                             |       0.09 |       0.09 |       0.38 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |     274911 |          0 |          0 |          0
  average dram access latency (ns)   |     110.69 |        inf |        inf |        inf
  average dram queueing delay        |       0.68 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
