                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  420584753 |  474775951 |  249999979 |  389481931
  Cycles                             |  262203531 |  262203489 |  262200061 |  262203593
  IPC                                |       1.60 |       1.81 |       0.95 |       1.49
  Time (ns)                          |   87401177 |   87401163 |   87400021 |   87401198
Branch predictor stats               |            |            |            |           
  num correct                        |   17886327 |   60575050 |   38222132 |   35017099
  num incorrect                      |    1033790 |    6641532 |    9793313 |    5955674
  misprediction rate                 |      5.46% |      9.88% |     20.40% |     14.54%
  mpki                               |       2.46 |      13.99 |      39.17 |      15.29
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   40578638 |   72819408 |   32523298 |   44252262
    num misses                       |          8 |        371 |         19 |        226
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  130499437 |  190543959 |   84159510 |  163100818
    num misses                       |      37634 |      56011 |     372590 |      90059
    miss rate                        |      0.03% |      0.03% |      0.44% |      0.06%
    mpki                             |       0.09 |       0.12 |       1.49 |       0.23
  L2 TLB                             |            |            |            |           
    num accesses                     |      37642 |      56382 |     372609 |      90285
    num misses                       |       1131 |       1833 |      78122 |       2862
    miss rate                        |      3.00% |      3.25% |     20.97% |      3.17%
    mpki                             |       0.00 |       0.00 |       0.31 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   40578638 |   72819408 |   32523298 |   44252262
    num cache misses                 |        716 |    1527596 |     117569 |     556004
    miss rate                        |      0.00% |      2.10% |      0.36% |      1.26%
    mpki                             |       0.00 |       3.22 |       0.47 |       1.43
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  130499437 |  190543959 |   84159510 |  163100818
    num cache misses                 |    3529204 |    1490005 |     322124 |    1236084
    miss rate                        |      2.70% |      0.78% |      0.38% |      0.76%
    mpki                             |       8.39 |       3.14 |       1.29 |       3.17
  Cache L2                           |            |            |            |           
    num cache accesses               |    3539778 |    3021542 |     510176 |    1793958
    num cache misses                 |      50047 |      82622 |     129740 |      73659
    miss rate                        |      1.41% |      2.73% |     25.43% |      4.11%
    mpki                             |       0.12 |       0.17 |       0.52 |       0.19
  Cache L3                           |            |            |            |           
    num cache accesses               |      59935 |      87127 |     201596 |      75994
    num cache misses                 |      47392 |      52109 |     123345 |      35240
    miss rate                        |     79.07% |     59.81% |     61.18% |     46.37%
    mpki                             |       0.11 |       0.11 |       0.49 |       0.09
DRAM summary                         |            |            |            |           
  num dram accesses                  |     368836 |          0 |          0 |          0
  average dram access latency (ns)   |     110.64 |        inf |        inf |        inf
  average dram queueing delay        |       0.63 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
