                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   249999886 |  1348824363 |  1983162099 |  2100319934 |  1588302131 |   917869677 |   554427726 |  1379862100 |   296347469 |  2254715829 |   544936390 |  2051034666 |   804653090 |  1165474904 |  2651386351 |  1304310282
  Cycles                             |  1628227087 |  1628231150 |  1628231218 |  1628231238 |  1628231415 |  1628231449 |  1628231698 |  1628231403 |  1628231554 |  1628231224 |  1628231400 |  1628231191 |  1628231189 |  1628231158 |  1628231170 |  1628231281
  IPC                                |        0.15 |        0.83 |        1.22 |        1.29 |        0.98 |        0.56 |        0.34 |        0.85 |        0.18 |        1.38 |        0.33 |        1.26 |        0.49 |        0.72 |        1.63 |        0.80
  Time (ns)                          |   542742363 |   542743717 |   542743740 |   542743746 |   542743805 |   542743817 |   542743900 |   542743801 |   542743852 |   542743742 |   542743800 |   542743731 |   542743730 |   542743720 |   542743724 |   542743761
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    34399075 |    70873433 |   175390810 |    96710770 |    90548905 |    55770697 |    30069245 |   210948663 |    49645730 |    99549074 |    33646363 |   164959308 |    18319408 |    22079889 |   176875580 |   196393329
  num incorrect                      |     4720676 |    51902223 |    29254295 |      803135 |    15337292 |    33561423 |      703359 |    54141095 |     4539458 |     5653410 |     1102720 |    27720203 |      325636 |     3275825 |    30275525 |    22171525
  misprediction rate                 |      12.07% |      42.27% |      14.30% |       0.82% |      14.48% |      37.57% |       2.29% |      20.42% |       8.38% |       5.37% |       3.17% |      14.39% |       1.75% |      12.92% |      14.62% |      10.14%
  mpki                               |       18.88 |       38.48 |       14.75 |        0.38 |        9.66 |       36.56 |        1.27 |       39.24 |       15.32 |        2.51 |        2.02 |       13.52 |        0.40 |        2.81 |       11.42 |       17.00
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    43801034 |   108697273 |   225081686 |   160676907 |   178889760 |   109480391 |    55901055 |   179556510 |    34636398 |   214729594 |    51799996 |   300488609 |    72034815 |   111131851 |   321605125 |   209008035
    num misses                       |          84 |          52 |         748 |          43 |          56 |          10 |          47 |          19 |          42 |           8 |          22 |          65 |           4 |          74 |          18 |        8297
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   116504258 |   395918144 |   829519861 |  1208594593 |   746286963 |   422133641 |   191910790 |   464358571 |   105113283 |   685513563 |   180022199 |   983441846 |   314604718 |   592224798 |  1117494568 |   527290400
    num misses                       |     4544419 |       22686 |      438975 |      162333 |      482657 |     2887878 |      294778 |     2053479 |     1901280 |      220346 |     1513759 |     5486836 |      162056 |     1362068 |     7889099 |     3072059
    miss rate                        |       3.90% |       0.01% |       0.05% |       0.01% |       0.06% |       0.68% |       0.15% |       0.44% |       1.81% |       0.03% |       0.84% |       0.56% |       0.05% |       0.23% |       0.71% |       0.58%
    mpki                             |       18.18 |        0.02 |        0.22 |        0.08 |        0.30 |        3.15 |        0.53 |        1.49 |        6.42 |        0.10 |        2.78 |        2.68 |        0.20 |        1.17 |        2.98 |        2.36
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     4544503 |       22738 |      439723 |      162376 |      482713 |     2887888 |      294825 |     2053498 |     1901322 |      220354 |     1513781 |     5486901 |      162060 |     1362142 |     7889117 |     3080356
    num misses                       |     1361731 |       20342 |       14068 |       47457 |       75865 |     2293758 |       94916 |      429910 |      508637 |        5627 |      141010 |       35017 |       86259 |       18036 |       60032 |      442704
    miss rate                        |      29.96% |      89.46% |       3.20% |      29.23% |      15.72% |      79.43% |      32.19% |      20.94% |      26.75% |       2.55% |       9.32% |       0.64% |      53.23% |       1.32% |       0.76% |      14.37%
    mpki                             |        5.45 |        0.02 |        0.01 |        0.02 |        0.05 |        2.50 |        0.17 |        0.31 |        1.72 |        0.00 |        0.26 |        0.02 |        0.11 |        0.02 |        0.02 |        0.34
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    43801034 |   108697273 |   225081686 |   160676907 |   178889760 |   109480391 |    55901055 |   179556510 |    34636398 |   214729594 |    51799996 |   300488609 |    72034815 |   111131851 |   321605125 |   209008035
