                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   249999886 |  1493068945 |  2187683037 |  3846572457 |  1745858861 |   601674496 |   642209478 |  1437112728 |   278949852 |  2311695023 |   614374489 |  2142403485 |   945542024 |  1206829999 |  2660806266 |  1524934428
  Cycles                             |  1836331799 |  1836333213 |  1836333217 |  1836333213 |  1836333271 |  1836333780 |  1836333260 |  1836333213 |  1836334499 |  1836333565 |  1836333698 |  1836333213 |  1836333429 |  1836333268 |  1836333226 |  1836333652
  IPC                                |        0.14 |        0.81 |        1.19 |        2.09 |        0.95 |        0.33 |        0.35 |        0.78 |        0.15 |        1.26 |        0.33 |        1.17 |        0.51 |        0.66 |        1.45 |        0.83
  Time (ns)                          |   612110600 |   612111071 |   612111073 |   612111071 |   612111091 |   612111260 |   612111087 |   612111071 |   612111500 |   612111189 |   612111233 |   612111071 |   612111143 |   612111090 |   612111076 |   612111218
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    34399075 |    81114562 |   193053211 |   177129939 |    99368504 |    36543166 |    34680875 |   219879886 |    47234553 |   101568714 |    37720185 |   172346747 |    21537639 |    22168999 |   177556491 |   229882973
  num incorrect                      |     4720676 |    56485106 |    32203631 |     1472765 |    16828429 |    21989625 |      811155 |    56263994 |     4298072 |     5772385 |     1276675 |    28927659 |      383268 |     3283399 |    30372391 |    25888105
  misprediction rate                 |      12.07% |      41.05% |      14.30% |       0.82% |      14.48% |      37.57% |       2.29% |      20.37% |       8.34% |       5.38% |       3.27% |      14.37% |       1.75% |      12.90% |      14.61% |      10.12%
  mpki                               |       18.88 |       37.83 |       14.72 |        0.38 |        9.64 |       36.55 |        1.26 |       39.15 |       15.41 |        2.50 |        2.08 |       13.50 |        0.41 |        2.72 |       11.41 |       16.98
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    43801034 |   121811164 |   248105441 |   294276492 |   195933708 |    71753336 |    64586772 |   186954313 |    32377975 |   220563284 |    58521719 |   313890134 |    84780901 |   114908931 |   322746806 |   244242965
    num misses                       |          84 |          52 |         809 |          43 |          56 |          10 |          47 |          19 |          42 |           8 |          22 |          65 |           4 |          74 |          18 |        8899
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   116504258 |   440617869 |   915537293 |  2213441589 |   820698071 |   276979571 |   225047144 |   483617684 |    96962871 |   704759624 |   204025237 |  1027186192 |   372539895 |   615608639 |  1121450520 |   614551783
    num misses                       |     4541478 |       26784 |      487472 |      297816 |      527939 |     1884066 |      343106 |     2136655 |     1652747 |      220551 |     1715936 |     5739843 |      194854 |     1384692 |     7916459 |     3449156
    miss rate                        |       3.90% |       0.01% |       0.05% |       0.01% |       0.06% |       0.68% |       0.15% |       0.44% |       1.70% |       0.03% |       0.84% |       0.56% |       0.05% |       0.22% |       0.71% |       0.56%
    mpki                             |       18.17 |        0.02 |        0.22 |        0.08 |        0.30 |        3.13 |        0.53 |        1.49 |        5.92 |        0.10 |        2.79 |        2.68 |        0.21 |        1.15 |        2.98 |        2.26
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     4541562 |       26836 |      488281 |      297859 |      527995 |     1884076 |      343153 |     2136674 |     1652789 |      220559 |     1715958 |     5739908 |      194858 |     1384766 |     7916477 |     3458055
    num misses                       |     1361680 |       24008 |       15529 |       86078 |       83401 |     1496027 |      107971 |      447444 |      471609 |        5683 |      154050 |       36242 |      104043 |       18187 |       60174 |      492594
    miss rate                        |      29.98% |      89.46% |       3.18% |      28.90% |      15.80% |      79.40% |      31.46% |      20.94% |      28.53% |       2.58% |       8.98% |       0.63% |      53.39% |       1.31% |       0.76% |      14.24%
    mpki                             |        5.45 |        0.02 |        0.01 |        0.02 |        0.05 |        2.49 |        0.17 |        0.31 |        1.69 |        0.00 |        0.25 |        0.02 |        0.11 |        0.02 |        0.02 |        0.32
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    43801034 |   121811164 |   248105441 |   294276492 |   195933708 |    71753336 |    64586772 |   186954313 |    32377975 |   220563284 |    58521719 |   313890134 |    84780901 |   114908931 |   322746806 |   244242965
    num cache misses                 |      981386 |       48103 |     3454408 |      264565 |      581987 |       43569 |       64987 |     1114134 |       37153 |       57348 |      401567 |    10547145 |      122114 |      222200 |     3004680 |     4658549
    miss rate                        |       2.24% |       0.04% |       1.39% |       0.09% |       0.30% |       0.06% |       0.10% |       0.60% |       0.11% |       0.03% |       0.69% |       3.36% |       0.14% |       0.19% |       0.93% |       1.91%
    mpki                             |        3.93 |        0.03 |        1.58 |        0.07 |        0.33 |        0.07 |        0.10 |        0.78 |        0.13 |        0.02 |        0.65 |        4.92 |        0.13 |        0.18 |        1.13 |        3.05
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   116504258 |   440617869 |   915537293 |  2213441589 |   820698071 |   276979571 |   225047144 |   483617684 |    96962871 |   704759624 |   204025237 |  1027186192 |   372539895 |   615608639 |  1121450520 |   614551783
    num cache misses                 |     6684447 |     1696837 |     8452858 |    20800360 |     5049080 |     4362429 |     7998449 |     2130538 |    11533045 |    18878629 |    12096079 |    34688640 |     9545733 |     9501296 |     5598977 |     5784210
    miss rate                        |       5.74% |       0.39% |       0.92% |       0.94% |       0.62% |       1.58% |       3.55% |       0.44% |      11.89% |       2.68% |       5.93% |       3.38% |       2.56% |       1.54% |       0.50% |       0.94%
    mpki                             |       26.74 |        1.14 |        3.86 |        5.41 |        2.89 |        7.25 |       12.45 |        1.48 |       41.34 |        8.17 |       19.69 |       16.19 |       10.10 |        7.87 |        2.10 |        3.79
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     9087092 |     1839198 |    11950467 |    21066606 |     5642545 |     5121446 |     9193761 |     3675077 |    12811064 |    19057222 |    13372935 |    45263985 |     9680247 |    10188154 |     8682435 |    10652599
    num cache misses                 |     6594946 |     1687236 |     4812870 |    14556585 |     3991855 |     4111217 |     6548909 |     1645190 |    10245199 |      930805 |     5802140 |     7423604 |     6837353 |     5249136 |     1371629 |     5637604
    miss rate                        |      72.57% |      91.74% |      40.27% |      69.10% |      70.75% |      80.27% |      71.23% |      44.77% |      79.97% |       4.88% |      43.39% |      16.40% |      70.63% |      51.52% |      15.80% |      52.92%
    mpki                             |       26.38 |        1.13 |        2.20 |        3.78 |        2.29 |        6.83 |       10.20 |        1.14 |       36.73 |        0.40 |        9.44 |        3.47 |        7.23 |        4.35 |        0.52 |        3.70
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     8018521 |     1782962 |     4857333 |    14558284 |     4004859 |     4884390 |     7698819 |     2084401 |    11486519 |     1056463 |     6684935 |     7457434 |     6853981 |     5713964 |     1452832 |     5848326
    num cache misses                 |     4758110 |     1669050 |      859953 |      551259 |     2488769 |     2538023 |     5767028 |      963499 |     6709032 |      738650 |     3329332 |      626049 |     6546063 |     1669438 |      662801 |     1835332
    miss rate                        |      59.34% |      93.61% |      17.70% |       3.79% |      62.14% |      51.96% |      74.91% |      46.22% |      58.41% |      69.92% |      49.80% |       8.39% |      95.51% |      29.22% |      45.62% |      31.38%
    mpki                             |       19.03 |        1.12 |        0.39 |        0.14 |        1.43 |        4.22 |        8.98 |        0.67 |       24.05 |        0.32 |        5.42 |        0.29 |        6.92 |        1.38 |        0.25 |        1.20
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |    57716759 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      247.68 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      137.67 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      94.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
