                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   249999886 |  1669319827 |  1115802537 |  4766155555 |  1494094875 |   514545666 |   684358156 |  1014433893 |   273606513 |   908765604 |   663571054 |   652906159 |  1031745556 |   670201119 |  1278132811 |   707110710
  Cycles                             |  2713120773 |  2713137462 |  2713138803 |  2713137000 |  2713138522 |  2713137094 |  2713137482 |  2713138805 |  2713138103 |  2713137465 |  2713137000 |  2713137435 |  2713137277 |  2713138409 |  2713137030 |  2713137891
  IPC                                |        0.09 |        0.62 |        0.41 |        1.76 |        0.55 |        0.19 |        0.25 |        0.37 |        0.10 |        0.33 |        0.24 |        0.24 |        0.38 |        0.25 |        0.47 |        0.26
  Time (ns)                          |   904373591 |   904379154 |   904379601 |   904379000 |   904379508 |   904379032 |   904379161 |   904379602 |   904379368 |   904379155 |   904379000 |   904379145 |   904379093 |   904379470 |   904379010 |   904379297
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    34399075 |    86327292 |    99478720 |   219484480 |    84952027 |    31275920 |    36538809 |   154946675 |    46754389 |    39429902 |    40602025 |    52586058 |    23649230 |    12867933 |    84867995 |   106667554
  num incorrect                      |     4720676 |    64757667 |    16744598 |     1826639 |    14401054 |    18820974 |      854688 |    39805881 |     4213585 |     2249766 |     1516458 |     8806413 |      421233 |     1868457 |    14613562 |    11963209
  misprediction rate                 |      12.07% |      42.86% |      14.41% |       0.83% |      14.49% |      37.57% |       2.29% |      20.44% |       8.27% |       5.40% |       3.60% |      14.34% |       1.75% |      12.68% |      14.69% |      10.08%
  mpki                               |       18.88 |       38.79 |       15.01 |        0.38 |        9.64 |       36.58 |        1.25 |       39.24 |       15.40 |        2.48 |        2.29 |       13.49 |        0.41 |        2.79 |       11.43 |       16.92
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    43801034 |   133619449 |   126888516 |   364633447 |   167609788 |    61406442 |    68550838 |   132005854 |    31876901 |    87122081 |    63199496 |    95717479 |    92241552 |    63993365 |   155007444 |   113171892
    num misses                       |          84 |          52 |         463 |          43 |          56 |          10 |          47 |          19 |          42 |           8 |          22 |          65 |           4 |          66 |          18 |        4377
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   116504258 |   488609366 |   466697143 |  2742598712 |   702556066 |   236592047 |   240830268 |   341417465 |    94321904 |   278978322 |   222797869 |   313053878 |   404381897 |   340809861 |   538680209 |   284652650
    num misses                       |     4539732 |       27399 |      247230 |      369675 |      449468 |     1627318 |      364350 |     1514961 |     1569926 |       84210 |     1787595 |     1758852 |      212494 |      801990 |     3811637 |     1596739
    miss rate                        |       3.90% |       0.01% |       0.05% |       0.01% |       0.06% |       0.69% |       0.15% |       0.44% |       1.66% |       0.03% |       0.80% |       0.56% |       0.05% |       0.24% |       0.71% |       0.56%
    mpki                             |       18.16 |        0.02 |        0.22 |        0.08 |        0.30 |        3.16 |        0.53 |        1.49 |        5.74 |        0.09 |        2.69 |        2.69 |        0.21 |        1.20 |        2.98 |        2.26
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     4539816 |       27451 |      247693 |      369718 |      449524 |     1627328 |      364397 |     1514980 |     1569968 |       84218 |     1787617 |     1758917 |      212498 |      802056 |     3811655 |     1601116
    num misses                       |     1361608 |       24408 |        7897 |      106038 |       71234 |     1293237 |      115406 |      316976 |      431150 |        2291 |      163207 |       10826 |      111578 |       10351 |       29410 |      230599
    miss rate                        |      29.99% |      88.91% |       3.19% |      28.68% |      15.85% |      79.47% |      31.67% |      20.92% |      27.46% |       2.72% |       9.13% |       0.62% |      52.51% |       1.29% |       0.77% |      14.40%
    mpki                             |        5.45 |        0.01 |        0.01 |        0.02 |        0.05 |        2.51 |        0.17 |        0.31 |        1.58 |        0.00 |        0.25 |        0.02 |        0.11 |        0.02 |        0.02 |        0.33
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    43801034 |   133619449 |   126888516 |   364633447 |   167609788 |    61406442 |    68550838 |   132005854 |    31876901 |    87122081 |    63199496 |    95717479 |    92241552 |    63993365 |   155007444 |   113171892
    num cache misses                 |      605383 |      340875 |     2288819 |      178305 |      670299 |       17549 |       41500 |     1456185 |       26788 |      166855 |      137862 |     3628941 |       42101 |      177828 |     2466913 |     2704438
    miss rate                        |       1.38% |       0.26% |       1.80% |       0.05% |       0.40% |       0.03% |       0.06% |       1.10% |       0.08% |       0.19% |       0.22% |       3.79% |       0.05% |       0.28% |       1.59% |       2.39%
    mpki                             |        2.42 |        0.20 |        2.05 |        0.04 |        0.45 |        0.03 |        0.06 |        1.44 |        0.10 |        0.18 |        0.21 |        5.56 |        0.04 |        0.27 |        1.93 |        3.82
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   116504258 |   488609366 |   466697143 |  2742598712 |   702556066 |   236592047 |   240830268 |   341417465 |    94321904 |   278978322 |   222797869 |   313053878 |   404381897 |   340809861 |   538680209 |   284652650
    num cache misses                 |     6558149 |     1975588 |     4852889 |    24804543 |     4794002 |     3857491 |     8510523 |     2381082 |    11274230 |     9042929 |    12678642 |    11130045 |    10366596 |     5575540 |     4086262 |     3155696
    miss rate                        |       5.63% |       0.40% |       1.04% |       0.90% |       0.68% |       1.63% |       3.53% |       0.70% |      11.95% |       3.24% |       5.69% |       3.56% |       2.56% |       1.64% |       0.76% |       1.11%
    mpki                             |       26.23 |        1.18 |        4.35 |        5.20 |        3.21 |        7.50 |       12.44 |        2.35 |       41.21 |        9.95 |       19.11 |       17.05 |       10.05 |        8.32 |        3.20 |        4.46
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
