                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999886 |   414897934 |   261521309 |   675255770
  Cycles                             |  1277812876 |  1277816534 |  1277816802 |  1277816595
  IPC                                |        0.20 |        0.32 |        0.20 |        0.53
  Time (ns)                          |   425937625 |   425938845 |   425938934 |   425938865
Branch predictor stats               |             |             |             |            
  num correct                        |    34399075 |    32986194 |    44678060 |    74374404
  num incorrect                      |     4720676 |     2710048 |     4035666 |    11219748
  misprediction rate                 |      12.07% |       7.59% |       8.28% |      13.11%
  mpki                               |       18.88 |        6.53 |       15.43 |       16.62
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    43801034 |    34492504 |    30459013 |    79138423
    num misses                       |          84 |          42 |          42 |          10
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   116504258 |   114310150 |    90492966 |   300011245
    num misses                       |     4539961 |      570599 |     1507975 |     3253029
    miss rate                        |       3.90% |       0.50% |       1.67% |       1.08%
    mpki                             |       18.16 |        1.38 |        5.77 |        4.82
  L2 TLB                             |             |             |             |            
    num accesses                     |     4540045 |      570641 |     1508017 |     3253039
    num misses                       |     1361641 |      178007 |      413567 |      295367
    miss rate                        |      29.99% |      31.19% |      27.42% |       9.08%
    mpki                             |        5.45 |        0.43 |        1.58 |        0.44
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    43801034 |    34492504 |    30459013 |    79138423
    num cache misses                 |      704683 |       50923 |       23084 |       46500
    miss rate                        |       1.61% |       0.15% |       0.08% |       0.06%
    mpki                             |        2.82 |        0.12 |        0.09 |        0.07
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   116504258 |   114310150 |    90492966 |   300011245
    num cache misses                 |     6596371 |     6163068 |    10704407 |    10177183
    miss rate                        |       5.66% |       5.39% |      11.83% |       3.39%
    mpki                             |       26.39 |       14.85 |       40.93 |       15.07
  Cache L2                           |             |             |             |            
    num cache accesses               |     8989172 |     6290967 |    12473077 |    10443213
    num cache misses                 |     6009023 |     5481642 |     8888266 |     6106522
    miss rate                        |      66.85% |      87.14% |      71.26% |      58.47%
    mpki                             |       24.04 |       13.21 |       33.99 |        9.04
  Cache L3                           |             |             |             |            
    num cache accesses               |     7702099 |     5558740 |    10634783 |     6346159
    num cache misses                 |     5600033 |     5441937 |     8316902 |     5484580
    miss rate                        |      72.71% |      97.90% |      78.20% |      86.42%
    mpki                             |       22.40 |       13.12 |       31.80 |        8.12
DRAM summary                         |             |             |             |            
  num dram accesses                  |    32632635 |           0 |           0 |           0
  average dram access latency (ns)   |      148.13 |         inf |         inf |         inf
  average dram queueing delay        |       38.12 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      76.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
