                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999886 |   382149521 |   265500793 |   847572189
  Cycles                             |  1093912422 |  1093917648 |  1093917689 |  1093917173
  IPC                                |        0.23 |        0.35 |        0.24 |        0.77
  Time (ns)                          |   364637474 |   364639216 |   364639230 |   364639058
Branch predictor stats               |             |             |             |            
  num correct                        |    34399075 |    30283256 |    45249559 |    91443821
  num incorrect                      |     4720676 |     2484443 |     4068946 |    13898977
  misprediction rate                 |      12.07% |       7.58% |       8.25% |      13.19%
  mpki                               |       18.88 |        6.50 |       15.33 |       16.40
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    43801034 |    32246131 |    30922617 |    99425488
    num misses                       |          84 |          42 |          42 |          10
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   116504258 |   105211365 |    91768125 |   380594388
    num misses                       |     4542787 |      516613 |     1538108 |     4040275
    miss rate                        |       3.90% |       0.49% |       1.68% |       1.06%
    mpki                             |       18.17 |        1.35 |        5.79 |        4.77
  L2 TLB                             |             |             |             |            
    num accesses                     |     4542871 |      516655 |     1538150 |     4040285
    num misses                       |     1361709 |      162739 |      420855 |      367629
    miss rate                        |      29.97% |      31.50% |      27.36% |       9.10%
    mpki                             |        5.45 |        0.43 |        1.59 |        0.43
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    43801034 |    32246131 |    30922617 |    99425488
    num cache misses                 |      957065 |       61321 |       35058 |       74839
    miss rate                        |       2.19% |       0.19% |       0.11% |       0.08%
    mpki                             |        3.83 |        0.16 |        0.13 |        0.09
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   116504258 |   105211365 |    91768125 |   380594388
    num cache misses                 |     6665444 |     5646806 |    10926218 |    12222073
    miss rate                        |       5.72% |       5.37% |      11.91% |       3.21%
    mpki                             |       26.66 |       14.78 |       41.15 |       14.42
  Cache L2                           |             |             |             |            
    num cache accesses               |     9011513 |     5755626 |    12228968 |    12465333
    num cache misses                 |     6545535 |     5285249 |     9676827 |     8515547
    miss rate                        |      72.64% |      91.83% |      79.13% |      68.31%
    mpki                             |       26.18 |       13.83 |       36.45 |       10.05
  Cache L3                           |             |             |             |            
    num cache accesses               |     7936794 |     5332873 |    10944995 |     8693986
    num cache misses                 |     4674844 |     4476937 |     6799083 |     3318054
    miss rate                        |      58.90% |      83.95% |      62.12% |      38.16%
    mpki                             |       18.70 |       11.72 |       25.61 |        3.91
DRAM summary                         |             |             |             |            
  num dram accesses                  |    25889253 |           0 |           0 |           0
  average dram access latency (ns)   |      149.07 |         inf |         inf |         inf
  average dram queueing delay        |       39.06 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      71.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
