                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   249999886 |   407577169 |   278543503 |  1001942256
  Cycles                             |  1103865559 |  1103868329 |  1103868618 |  1103867992
  IPC                                |        0.23 |        0.37 |        0.25 |        0.91
  Time (ns)                          |   367955186 |   367956110 |   367956206 |   367955997
Branch predictor stats               |             |             |             |            
  num correct                        |    34399075 |    32347693 |    47196833 |   108698495
  num incorrect                      |     4720676 |     2661389 |     4294660 |    16551303
  misprediction rate                 |      12.07% |       7.60% |       8.34% |      13.21%
  mpki                               |       18.88 |        6.53 |       15.42 |       16.52
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    43801034 |    33945134 |    32322921 |   118108802
    num misses                       |          84 |          42 |          42 |          10
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   116504258 |   112274447 |    96750393 |   450831213
    num misses                       |     4541796 |      558478 |     1648389 |     4490072
    miss rate                        |       3.90% |       0.50% |       1.70% |       1.00%
    mpki                             |       18.17 |        1.37 |        5.92 |        4.48
  L2 TLB                             |             |             |             |            
    num accesses                     |     4541880 |      558520 |     1648431 |     4490082
    num misses                       |     1361684 |      174598 |      469734 |      396231
    miss rate                        |      29.98% |      31.26% |      28.50% |       8.82%
    mpki                             |        5.45 |        0.43 |        1.69 |        0.40
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    43801034 |    33945134 |    32322921 |   118108802
    num cache misses                 |      547167 |       41427 |       16906 |       26785
    miss rate                        |       1.25% |       0.12% |       0.05% |       0.02%
    mpki                             |        2.19 |        0.10 |        0.06 |        0.03
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   116504258 |   112274447 |    96750393 |   450831213
    num cache misses                 |     6515491 |     6046727 |    11501110 |    14404254
    miss rate                        |       5.59% |       5.39% |      11.89% |       3.20%
    mpki                             |       26.06 |       14.84 |       41.29 |       14.38
  Cache L2                           |             |             |             |            
    num cache accesses               |     8519734 |     6153418 |    12859488 |    14631602
    num cache misses                 |     5441371 |     5283236 |     8673491 |     5789583
    miss rate                        |      63.87% |      85.86% |      67.45% |      39.57%
    mpki                             |       21.77 |       12.96 |       31.14 |        5.78
  Cache L3                           |             |             |             |            
    num cache accesses               |     6904351 |     5349411 |    10017646 |     6031765
    num cache misses                 |     4904543 |     4814060 |     7121117 |     2499148
    miss rate                        |      71.04% |      89.99% |      71.09% |      41.43%
    mpki                             |       19.62 |       11.81 |       25.57 |        2.49
DRAM summary                         |             |             |             |            
  num dram accesses                  |    25762507 |           0 |           0 |           0
  average dram access latency (ns)   |      138.52 |         inf |         inf |         inf
  average dram queueing delay        |       28.51 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      70.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
