                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  391427485 |  249999984 |  400841266 |  652380405
  Cycles                             |  418318290 |  418316445 |  418318301 |  418318285
  IPC                                |       0.94 |       0.60 |       0.96 |       1.56
  Time (ns)                          |  139439430 |  139438815 |  139439434 |  139439429
Branch predictor stats               |            |            |            |           
  num correct                        |   59130239 |   15199251 |   51128123 |   30029590
  num incorrect                      |    6582622 |    9146162 |   12171620 |     247624
  misprediction rate                 |     10.02% |     37.57% |     19.23% |      0.82%
  mpki                               |      16.82 |      36.58 |      30.37 |       0.38
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   62549648 |   29844534 |   56232158 |   49900246
    num misses                       |       2506 |         10 |        113 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  156998743 |  114926447 |  158258607 |  375407980
    num misses                       |     846090 |     791204 |     248750 |      49741
    miss rate                        |      0.54% |      0.69% |      0.16% |      0.01%
    mpki                             |       2.16 |       3.16 |       0.62 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |     848596 |     791214 |     248863 |      49784
    num misses                       |     125298 |     629351 |      41976 |      15454
    miss rate                        |     14.77% |     79.54% |     16.87% |     31.04%
    mpki                             |       0.32 |       2.52 |       0.10 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   62549648 |   29844534 |   56232158 |   49900246
    num cache misses                 |    1207095 |      16689 |    1758623 |      44334
    miss rate                        |      1.93% |      0.06% |      3.13% |      0.09%
    mpki                             |       3.08 |       0.07 |       4.39 |       0.07
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  156998743 |  114926447 |  158258607 |  375407980
    num cache misses                 |    1514468 |    1787504 |    1818227 |    3544198
    miss rate                        |      0.96% |      1.56% |      1.15% |      0.94%
    mpki                             |       3.87 |       7.15 |       4.54 |       5.43
  Cache L2                           |            |            |            |           
    num cache accesses               |    2810941 |    2036681 |    3677175 |    3593867
    num cache misses                 |    1619615 |    1678694 |    1573091 |    2489986
    miss rate                        |     57.62% |     82.42% |     42.78% |     69.28%
    mpki                             |       4.14 |       6.71 |       3.92 |       3.82
  Cache L3                           |            |            |            |           
    num cache accesses               |    1709458 |    1933675 |    1674352 |    2495667
    num cache misses                 |     790214 |     777258 |     374397 |    1216802
    miss rate                        |     46.23% |     40.20% |     22.36% |     48.76%
    mpki                             |       2.02 |       3.11 |       0.93 |       1.87
DRAM summary                         |            |            |            |           
  num dram accesses                  |    5017605 |          0 |          0 |          0
  average dram access latency (ns)   |     114.80 |        inf |        inf |        inf
  average dram queueing delay        |       4.79 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     36.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
