                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  375719433 |  249999984 |  381486989 |  589735641
  Cycles                             |  528761404 |  528759403 |  528761400 |  528761322
  IPC                                |       0.71 |       0.47 |       0.72 |       1.12
  Time (ns)                          |  176253801 |  176253134 |  176253800 |  176253774
Branch predictor stats               |            |            |            |           
  num correct                        |   56702698 |   15199251 |   48917188 |   27153098
  num incorrect                      |    6327135 |    9146162 |   11595110 |     224991
  misprediction rate                 |     10.04% |     37.57% |     19.16% |      0.82%
  mpki                               |      16.84 |      36.58 |      30.39 |       0.38
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   60087512 |   29844534 |   53461599 |   45116755
    num misses                       |       2506 |         10 |        113 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  151186706 |  114926447 |  149751989 |  339341570
    num misses                       |     843569 |     791211 |     245316 |      45438
    miss rate                        |      0.56% |      0.69% |      0.16% |      0.01%
    mpki                             |       2.25 |       3.16 |       0.64 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |     846075 |     791221 |     245429 |      45481
    num misses                       |     125044 |     629353 |      41298 |      13753
    miss rate                        |     14.78% |     79.54% |     16.83% |     30.24%
    mpki                             |       0.33 |       2.52 |       0.11 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   60087512 |   29844534 |   53461599 |   45116755
    num cache misses                 |    1038011 |      10591 |    1571632 |      29532
    miss rate                        |      1.73% |      0.04% |      2.94% |      0.07%
    mpki                             |       2.76 |       0.04 |       4.12 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  151186706 |  114926447 |  149751989 |  339341570
    num cache misses                 |    1356678 |    1770729 |    1716245 |    3088622
    miss rate                        |      0.90% |      1.54% |      1.15% |      0.91%
    mpki                             |       3.61 |       7.08 |       4.50 |       5.24
  Cache L2                           |            |            |            |           
    num cache accesses               |    2448237 |    1934740 |    3386404 |    3121223
    num cache misses                 |     785134 |    1489409 |     859015 |    1896578
    miss rate                        |     32.07% |     76.98% |     25.37% |     60.76%
    mpki                             |       2.09 |       5.96 |       2.25 |       3.22
  Cache L3                           |            |            |            |           
    num cache accesses               |     839109 |    1679991 |     959334 |    1899816
    num cache misses                 |     472112 |     498379 |     293167 |     815496
    miss rate                        |     56.26% |     29.67% |     30.56% |     42.92%
    mpki                             |       1.26 |       1.99 |       0.77 |       1.38
DRAM summary                         |            |            |            |           
  num dram accesses                  |    3400555 |          0 |          0 |          0
  average dram access latency (ns)   |     348.39 |        inf |        inf |        inf
  average dram queueing delay        |     208.35 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     77.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
