                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  440838091 |  249999984 |  368074682 |  711505532
  Cycles                             |  411292507 |  411290610 |  411292511 |  411292470
  IPC                                |       1.07 |       0.61 |       0.89 |       1.73
  Time (ns)                          |  137097503 |  137096870 |  137097504 |  137097490
Branch predictor stats               |            |            |            |           
  num correct                        |   66618353 |   15199251 |   47394839 |   32760679
  num incorrect                      |    7434129 |    9146162 |   11191861 |     271731
  misprediction rate                 |     10.04% |     37.57% |     19.10% |      0.82%
  mpki                               |      16.86 |      36.58 |      30.41 |       0.38
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   70423039 |   29844534 |   51546027 |   54429831
    num misses                       |       2591 |         10 |        113 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  176408198 |  114926447 |  143847526 |  409426611
    num misses                       |     910389 |     791200 |     242331 |      55092
    miss rate                        |      0.52% |      0.69% |      0.17% |      0.01%
    mpki                             |       2.07 |       3.16 |       0.66 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |     912980 |     791210 |     242444 |      55135
    num misses                       |     134299 |     629348 |      40736 |      16420
    miss rate                        |     14.71% |     79.54% |     16.80% |     29.78%
    mpki                             |       0.30 |       2.52 |       0.11 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   70423039 |   29844534 |   51546027 |   54429831
    num cache misses                 |    1117116 |       7382 |    1536540 |      25844
    miss rate                        |      1.59% |      0.02% |      2.98% |      0.05%
    mpki                             |       2.53 |       0.03 |       4.17 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  176408198 |  114926447 |  143847526 |  409426611
    num cache misses                 |    1462856 |    1777579 |    1704907 |    3693582
    miss rate                        |      0.83% |      1.55% |      1.19% |      0.90%
    mpki                             |       3.32 |       7.11 |       4.63 |       5.19
  Cache L2                           |            |            |            |           
    num cache accesses               |    2652864 |    1983093 |    3357121 |    3723577
    num cache misses                 |     701646 |    1287332 |     620423 |    2018186
    miss rate                        |     26.45% |     64.92% |     18.48% |     54.20%
    mpki                             |       1.59 |       5.15 |       1.69 |       2.84
  Cache L3                           |            |            |            |           
    num cache accesses               |     775481 |    1530884 |     739948 |    2022885
    num cache misses                 |     640555 |     754540 |     458680 |     962346
    miss rate                        |     82.60% |     49.29% |     61.99% |     47.57%
    mpki                             |       1.45 |       3.02 |       1.25 |       1.35
DRAM summary                         |            |            |            |           
  num dram accesses                  |    4413870 |          0 |          0 |          0
  average dram access latency (ns)   |     114.35 |        inf |        inf |        inf
  average dram queueing delay        |       4.34 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     32.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
