                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  381078362 |  249999984 |  341929900 |  546057518
  Cycles                             |  360964966 |  360962577 |  360965458 |  360964868
  IPC                                |       1.06 |       0.69 |       0.95 |       1.51
  Time (ns)                          |  120321655 |  120320859 |  120321819 |  120321623
Branch predictor stats               |            |            |            |           
  num correct                        |   57552286 |   15199251 |   43921043 |   25141273
  num incorrect                      |    6423340 |    9146162 |   10394531 |     208415
  misprediction rate                 |     10.04% |     37.57% |     19.14% |      0.82%
  mpki                               |      16.86 |      36.58 |      30.40 |       0.38
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   60915055 |   29844534 |   47874361 |   41772483
    num misses                       |       2506 |         10 |        113 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  153185828 |  114926447 |  133907397 |  314215978
    num misses                       |     844690 |     791212 |     220963 |      41739
    miss rate                        |      0.55% |      0.69% |      0.17% |      0.01%
    mpki                             |       2.22 |       3.16 |       0.65 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |     847196 |     791222 |     221076 |      41782
    num misses                       |     125151 |     629353 |      37193 |      12774
    miss rate                        |     14.77% |     79.54% |     16.82% |     30.57%
    mpki                             |       0.33 |       2.52 |       0.11 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   60915055 |   29844534 |   47874361 |   41772483
    num cache misses                 |    1036504 |      10573 |    1403754 |      27536
    miss rate                        |      1.70% |      0.04% |      2.93% |      0.07%
    mpki                             |       2.72 |       0.04 |       4.11 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  153185828 |  114926447 |  133907397 |  314215978
    num cache misses                 |    1356507 |    1769323 |    1541772 |    2861708
    miss rate                        |      0.89% |      1.54% |      1.15% |      0.91%
    mpki                             |       3.56 |       7.08 |       4.51 |       5.24
  Cache L2                           |            |            |            |           
    num cache accesses               |    2441989 |    1917580 |    3029852 |    2892757
    num cache misses                 |     779319 |    1488765 |     771218 |    1760361
    miss rate                        |     31.91% |     77.64% |     25.45% |     60.85%
    mpki                             |       2.05 |       5.96 |       2.26 |       3.22
  Cache L3                           |            |            |            |           
    num cache accesses               |     828702 |    1662863 |     856960 |    1764084
    num cache misses                 |     444261 |     444302 |     240773 |     877514
    miss rate                        |     53.61% |     26.72% |     28.10% |     49.74%
    mpki                             |       1.17 |       1.78 |       0.70 |       1.61
DRAM summary                         |            |            |            |           
  num dram accesses                  |    3330340 |          0 |          0 |          0
  average dram access latency (ns)   |     155.87 |        inf |        inf |        inf
  average dram queueing delay        |      35.85 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     55.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
