                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  390826119 |  249999984 |  354237895 |  575320175
  Cycles                             |  346564793 |  346562189 |  346565999 |  346564477
  IPC                                |       1.13 |       0.72 |       1.02 |       1.66
  Time (ns)                          |  115521598 |  115520730 |  115522000 |  115521492
Branch predictor stats               |            |            |            |           
  num correct                        |   59031952 |   15199251 |   45605343 |   26485901
  num incorrect                      |    6570746 |    9146162 |   10766422 |     218956
  misprediction rate                 |     10.02% |     37.57% |     19.10% |      0.82%
  mpki                               |      16.81 |      36.58 |      30.39 |       0.38
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   62456967 |   29844534 |   49633381 |   44008325
    num misses                       |       2506 |         10 |        113 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  156766687 |  114926447 |  138479173 |  331063958
    num misses                       |     845768 |     791198 |     232201 |      44291
    miss rate                        |      0.54% |      0.69% |      0.17% |      0.01%
    mpki                             |       2.16 |       3.16 |       0.66 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |     848274 |     791208 |     232314 |      44334
    num misses                       |     125251 |     629349 |      38635 |      13590
    miss rate                        |     14.77% |     79.54% |     16.63% |     30.65%
    mpki                             |       0.32 |       2.52 |       0.11 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   62456967 |   29844534 |   49633381 |   44008325
    num cache misses                 |    1156266 |      16198 |    1549229 |      38664
    miss rate                        |      1.85% |      0.05% |      3.12% |      0.09%
    mpki                             |       2.96 |       0.06 |       4.37 |       0.07
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  156766687 |  114926447 |  138479173 |  331063958
    num cache misses                 |    1437232 |    1775271 |    1633984 |    3108737
    miss rate                        |      0.92% |      1.54% |      1.18% |      0.94%
    mpki                             |       3.68 |       7.10 |       4.61 |       5.40
  Cache L2                           |            |            |            |           
    num cache accesses               |    2646918 |    1950112 |    3264759 |    3150837
    num cache misses                 |    1448568 |    1665862 |    1387200 |    2175105
    miss rate                        |     54.73% |     85.42% |     42.49% |     69.03%
    mpki                             |       3.71 |       6.66 |       3.92 |       3.78
  Cache L3                           |            |            |            |           
    num cache accesses               |    1502203 |    1845435 |    1469108 |    2178725
    num cache misses                 |     502287 |     494650 |     223769 |     980484
    miss rate                        |     33.44% |     26.80% |     15.23% |     45.00%
    mpki                             |       1.29 |       1.98 |       0.63 |       1.70
DRAM summary                         |            |            |            |           
  num dram accesses                  |    3669251 |          0 |          0 |          0
  average dram access latency (ns)   |     114.92 |        inf |        inf |        inf
  average dram queueing delay        |       4.91 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     31.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
