                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  510385602 |  249999984 |  453040413 |  637095039
  Cycles                             |  714131044 |  714127942 |  714130834 |  714130813
  IPC                                |       0.71 |       0.35 |       0.63 |       0.89
  Time (ns)                          |  238043682 |  238042648 |  238043612 |  238043605
Branch predictor stats               |            |            |            |           
  num correct                        |   76879489 |   15199251 |   57781850 |   29327773
  num incorrect                      |    8676897 |    9146162 |   13742573 |     242119
  misprediction rate                 |     10.14% |     37.57% |     19.21% |      0.82%
  mpki                               |      17.00 |      36.58 |      30.33 |       0.38
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   81765032 |   29844534 |   63576786 |   48732594
    num misses                       |       3105 |         10 |        117 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  205988407 |  114926447 |  178779751 |  366612073
    num misses                       |    1186026 |     791198 |     285089 |      48690
    miss rate                        |      0.58% |      0.69% |      0.16% |      0.01%
    mpki                             |       2.32 |       3.16 |       0.63 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |    1189131 |     791208 |     285206 |      48733
    num misses                       |     171348 |     629350 |      48345 |      15155
    miss rate                        |     14.41% |     79.54% |     16.95% |     31.10%
    mpki                             |       0.34 |       2.52 |       0.11 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   81765032 |   29844534 |   63576786 |   48732594
    num cache misses                 |    1735651 |      66657 |    2058298 |      75287
    miss rate                        |      2.12% |      0.22% |      3.24% |      0.15%
    mpki                             |       3.40 |       0.27 |       4.54 |       0.12
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  205988407 |  114926447 |  178779751 |  366612073
    num cache misses                 |    2138164 |    2013919 |    2199785 |    4010682
    miss rate                        |      1.04% |      1.75% |      1.23% |      1.09%
    mpki                             |       4.19 |       8.06 |       4.86 |       6.30
  Cache L2                           |            |            |            |           
    num cache accesses               |    4059397 |    2459650 |    4483172 |    4155088
    num cache misses                 |    1885440 |    2016371 |    1697316 |    3204796
    miss rate                        |     46.45% |     81.98% |     37.86% |     77.13%
    mpki                             |       3.69 |       8.07 |       3.75 |       5.03
  Cache L3                           |            |            |            |           
    num cache accesses               |    2072451 |    2404512 |    1926476 |    3275492
    num cache misses                 |    1718445 |    2013367 |    1449427 |    3192345
    miss rate                        |     82.92% |     83.73% |     75.24% |     97.46%
    mpki                             |       3.37 |       8.05 |       3.20 |       5.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |   11754780 |          0 |          0 |          0
  average dram access latency (ns)   |     116.42 |        inf |        inf |        inf
  average dram queueing delay        |       6.41 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     49.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
