                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  395520170 |  339179676 |  249999984 |  527600061
  Cycles                             |  328893102 |  328892408 |  328889152 |  328892398
  IPC                                |       1.20 |       1.03 |       0.76 |       1.60
  Time (ns)                          |  109631034 |  109630803 |  109629717 |  109630799
Branch predictor stats               |            |            |            |           
  num correct                        |   59672789 |   43508559 |   15199251 |   29897806
  num incorrect                      |    6669200 |   10320652 |    9146162 |    5059986
  misprediction rate                 |     10.05% |     19.17% |     37.57% |     14.47%
  mpki                               |      16.86 |      30.43 |      36.58 |       9.59
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   63275721 |   47469168 |   29844534 |   59095144
    num misses                       |       2506 |        113 |         10 |         56
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  158663166 |  132917953 |  114926447 |  248243475
    num misses                       |     846436 |     217998 |     791202 |     161845
    miss rate                        |      0.53% |      0.16% |      0.69% |      0.07%
    mpki                             |       2.14 |       0.64 |       3.16 |       0.31
  L2 TLB                             |            |            |            |           
    num accesses                     |     848942 |     218111 |     791212 |     161901
    num misses                       |     125325 |      36998 |     629349 |      25555
    miss rate                        |     14.76% |     16.96% |     79.54% |     15.78%
    mpki                             |       0.32 |       0.11 |       2.52 |       0.05
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   63275721 |   47469168 |   29844534 |   59095144
    num cache misses                 |    1035814 |    1391046 |      10564 |     120320
    miss rate                        |      1.64% |      2.93% |      0.04% |      0.20%
    mpki                             |       2.62 |       4.10 |       0.04 |       0.23
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  158663166 |  132917953 |  114926447 |  248243475
    num cache misses                 |    1356741 |    1521331 |    1769067 |    1497409
    miss rate                        |      0.86% |      1.14% |      1.54% |      0.60%
    mpki                             |       3.43 |       4.49 |       7.08 |       2.84
  Cache L2                           |            |            |            |           
    num cache accesses               |    2438772 |    2989275 |    1916326 |    1618911
    num cache misses                 |     773244 |     748887 |    1485682 |     909514
    miss rate                        |     31.71% |     25.05% |     77.53% |     56.18%
    mpki                             |       1.96 |       2.21 |       5.94 |       1.72
  Cache L3                           |            |            |            |           
    num cache accesses               |     819828 |     826972 |    1658856 |     911036
    num cache misses                 |     423521 |     206017 |     433582 |     277586
    miss rate                        |     51.66% |     24.91% |     26.14% |     30.47%
    mpki                             |       1.07 |       0.61 |       1.73 |       0.53
DRAM summary                         |            |            |            |           
  num dram accesses                  |    1996963 |          0 |          0 |          0
  average dram access latency (ns)   |     112.42 |        inf |        inf |        inf
  average dram queueing delay        |       2.41 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     18.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
