                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999941 |  301290968 |  262027508 |  360749747
  Cycles                             |  331119976 |  331122975 |  331122247 |  331122528
  IPC                                |       0.76 |       0.91 |       0.79 |       1.09
  Time (ns)                          |  110373326 |  110374325 |  110374083 |  110374176
Branch predictor stats               |            |            |            |           
  num correct                        |   37707678 |   16729967 |   33679777 |   16603508
  num incorrect                      |    4237467 |    2807781 |    7923721 |     136071
  misprediction rate                 |     10.10% |     14.37% |     19.05% |      0.81%
  mpki                               |      16.95 |       9.32 |      30.24 |       0.38
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   40025757 |   33441244 |   36753678 |   27591329
    num misses                       |       1554 |         56 |        106 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  100673480 |  142820384 |  102467297 |  207592252
    num misses                       |     560410 |      93845 |     180548 |      27391
    miss rate                        |      0.56% |      0.07% |      0.18% |      0.01%
    mpki                             |       2.24 |       0.31 |       0.69 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |     561964 |      93901 |     180654 |      27434
    num misses                       |      79939 |      14786 |      29696 |       9203
    miss rate                        |     14.22% |     15.75% |     16.44% |     33.55%
    mpki                             |       0.32 |       0.05 |       0.11 |       0.03
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   40025757 |   33441244 |   36753678 |   27591329
    num cache misses                 |     688634 |      67963 |    1079724 |      17067
    miss rate                        |      1.72% |      0.20% |      2.94% |      0.06%
    mpki                             |       2.75 |       0.23 |       4.12 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  100673480 |  142820384 |  102467297 |  207592252
    num cache misses                 |     898244 |     867647 |    1225668 |    1887996
    miss rate                        |      0.89% |      0.61% |      1.20% |      0.91%
    mpki                             |       3.59 |       2.88 |       4.68 |       5.23
  Cache L2                           |            |            |            |           
    num cache accesses               |    1617276 |     936658 |    2367127 |    1906769
    num cache misses                 |     484746 |     528006 |     613470 |    1158108
    miss rate                        |     29.97% |     56.37% |     25.92% |     60.74%
    mpki                             |       1.94 |       1.75 |       2.34 |       3.21
  Cache L3                           |            |            |            |           
    num cache accesses               |     515369 |     529456 |     676170 |    1159889
    num cache misses                 |     271447 |     370501 |     148949 |     517972
    miss rate                        |     52.67% |     69.98% |     22.03% |     44.66%
    mpki                             |       1.09 |       1.23 |       0.57 |       1.44
DRAM summary                         |            |            |            |           
  num dram accesses                  |    2120746 |          0 |          0 |          0
  average dram access latency (ns)   |     349.50 |        inf |        inf |        inf
  average dram queueing delay        |     209.46 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     76.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
