                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  279998502 |  348875888 |  249999969 |  413642869
  Cycles                             |  248893200 |  248893204 |  248891125 |  248893166
  IPC                                |       1.12 |       1.40 |       1.00 |       1.66
  Time (ns)                          |   82964400 |   82964401 |   82963708 |   82964389
Branch predictor stats               |            |            |            |           
  num correct                        |   42042562 |   20119102 |   32217105 |   19039410
  num incorrect                      |    4806542 |    3437346 |    7507996 |     156517
  misprediction rate                 |     10.26% |     14.59% |     18.90% |      0.82%
  mpki                               |      17.17 |       9.85 |      30.03 |       0.38
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   44951311 |   39924232 |   35058549 |   31640445
    num misses                       |       1966 |         56 |        106 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  113490123 |  163282449 |   97606891 |  238021351
    num misses                       |     680855 |     107298 |     176167 |      31777
    miss rate                        |      0.60% |      0.07% |      0.18% |      0.01%
    mpki                             |       2.43 |       0.31 |       0.70 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |     682821 |     107354 |     176273 |      31820
    num misses                       |      99105 |      16564 |      28106 |      10260
    miss rate                        |     14.51% |     15.43% |     15.94% |     32.24%
    mpki                             |       0.35 |       0.05 |       0.11 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   44951311 |   39924232 |   35058549 |   31640445
    num cache misses                 |     822542 |      79529 |    1024083 |      19790
    miss rate                        |      1.83% |      0.20% |      2.92% |      0.06%
    mpki                             |       2.94 |       0.23 |       4.10 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  113490123 |  163282449 |   97606891 |  238021351
    num cache misses                 |    1081916 |     973228 |    1208722 |    2167936
    miss rate                        |      0.95% |      0.60% |      1.24% |      0.91%
    mpki                             |       3.86 |       2.79 |       4.83 |       5.24
  Cache L2                           |            |            |            |           
    num cache accesses               |    1943069 |    1054078 |    2298689 |    2190532
    num cache misses                 |     614934 |     593443 |     624412 |    1331239
    miss rate                        |     31.65% |     56.30% |     27.16% |     60.77%
    mpki                             |       2.20 |       1.70 |       2.50 |       3.22
  Cache L3                           |            |            |            |           
    num cache accesses               |     653833 |     595225 |     691475 |    1334219
    num cache misses                 |     357422 |     379978 |     184695 |     689325
    miss rate                        |     54.67% |     63.84% |     26.71% |     51.67%
    mpki                             |       1.28 |       1.09 |       0.74 |       1.67
DRAM summary                         |            |            |            |           
  num dram accesses                  |    2629287 |          0 |          0 |          0
  average dram access latency (ns)   |     114.57 |        inf |        inf |        inf
  average dram queueing delay        |       4.56 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     31.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
