                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  277025962 |  338194900 |  249999969 |  407115264
  Cycles                             |  243023527 |  243023520 |  243021832 |  243023509
  IPC                                |       1.14 |       1.39 |       1.03 |       1.68
  Time (ns)                          |   81007843 |   81007840 |   81007278 |   81007837
Branch predictor stats               |            |            |            |           
  num correct                        |   41635076 |   19278743 |   32217105 |   18737382
  num incorrect                      |    4745786 |    3288068 |    7507996 |     153773
  misprediction rate                 |     10.23% |     14.57% |     18.90% |      0.81%
  mpki                               |      17.13 |       9.72 |      30.03 |       0.38
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   44453831 |   38498615 |   35058549 |   31138794
    num misses                       |       1845 |         56 |        106 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  112120839 |  158901367 |   97606891 |  234272631
    num misses                       |     659676 |     103131 |     176171 |      30932
    miss rate                        |      0.59% |      0.06% |      0.18% |      0.01%
    mpki                             |       2.38 |       0.30 |       0.70 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |     661521 |     103187 |     176277 |      30975
    num misses                       |      95756 |      16035 |      28108 |      10162
    miss rate                        |     14.48% |     15.54% |     15.95% |     32.81%
    mpki                             |       0.35 |       0.05 |       0.11 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   44453831 |   38498615 |   35058549 |   31138794
    num cache misses                 |     874500 |     108289 |    1090726 |      26405
    miss rate                        |      1.97% |      0.28% |      3.11% |      0.08%
    mpki                             |       3.16 |       0.32 |       4.36 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  112120839 |  158901367 |   97606891 |  234272631
    num cache misses                 |    1097266 |     970062 |    1225827 |    2201149
    miss rate                        |      0.98% |      0.61% |      1.26% |      0.94%
    mpki                             |       3.96 |       2.87 |       4.90 |       5.41
  Cache L2                           |            |            |            |           
    num cache accesses               |    2008533 |    1079410 |    2377726 |    2229746
    num cache misses                 |    1082526 |     760727 |    1063487 |    1538415
    miss rate                        |     53.90% |     70.48% |     44.73% |     69.00%
    mpki                             |       3.91 |       2.25 |       4.25 |       3.78
  Cache L3                           |            |            |            |           
    num cache accesses               |    1119431 |     761883 |    1124859 |    1540694
    num cache misses                 |     339553 |     385044 |     157234 |     666966
    miss rate                        |     30.33% |     50.54% |     13.98% |     43.29%
    mpki                             |       1.23 |       1.14 |       0.63 |       1.64
DRAM summary                         |            |            |            |           
  num dram accesses                  |    2539724 |          0 |          0 |          0
  average dram access latency (ns)   |     114.46 |        inf |        inf |        inf
  average dram queueing delay        |       4.45 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     31.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
