                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  390426804 |  552066315 |  462069667 |  249999984
  Cycles                             |  340574492 |  340574484 |  340574493 |  340572780
  IPC                                |       1.15 |       1.62 |       1.36 |       0.73
  Time (ns)                          |  113524831 |  113524828 |  113524831 |  113524260
Branch predictor stats               |            |            |            |           
  num correct                        |   58962813 |   25414278 |   26275143 |   15199251
  num incorrect                      |    6563208 |     210227 |    4510785 |    9146162
  misprediction rate                 |     10.02% |      0.82% |     14.65% |     37.57%
  mpki                               |      16.81 |       0.38 |       9.76 |      36.58
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   62398946 |   42228194 |   51822392 |   29844534
    num misses                       |       2506 |         43 |         56 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  156622609 |  317681070 |  217180159 |  114926447
    num misses                       |     845639 |      42006 |     136233 |     791210
    miss rate                        |      0.54% |      0.01% |      0.06% |      0.69%
    mpki                             |       2.17 |       0.08 |       0.29 |       3.16
  L2 TLB                             |            |            |            |           
    num accesses                     |     848145 |      42049 |     136289 |     791220
    num misses                       |     125249 |      13045 |      21610 |     629352
    miss rate                        |     14.77% |     31.02% |     15.86% |     79.54%
    mpki                             |       0.32 |       0.02 |       0.05 |       2.52
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   62398946 |   42228194 |   51822392 |   29844534
    num cache misses                 |    1016006 |      19674 |      81901 |       6558
    miss rate                        |      1.63% |      0.05% |      0.16% |      0.02%
    mpki                             |       2.60 |       0.04 |       0.18 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  156622609 |  317681070 |  217180159 |  114926447
    num cache misses                 |    1347642 |    2865196 |    1286906 |    1768153
    miss rate                        |      0.86% |      0.90% |      0.59% |      1.54%
    mpki                             |       3.45 |       5.19 |       2.79 |       7.07
  Cache L2                           |            |            |            |           
    num cache accesses               |    2416234 |    2889606 |    1371601 |    1918682
    num cache misses                 |     553888 |    1578388 |     706508 |    1157606
    miss rate                        |     22.92% |     54.62% |     51.51% |     60.33%
    mpki                             |       1.42 |       2.86 |       1.53 |       4.63
  Cache L3                           |            |            |            |           
    num cache accesses               |     607242 |    1583737 |     716614 |    1353664
    num cache misses                 |     475526 |     966968 |     570156 |     472955
    miss rate                        |     78.31% |     61.06% |     79.56% |     34.94%
    mpki                             |       1.22 |       1.75 |       1.23 |       1.89
DRAM summary                         |            |            |            |           
  num dram accesses                  |    4053273 |          0 |          0 |          0
  average dram access latency (ns)   |     115.09 |        inf |        inf |        inf
  average dram queueing delay        |       5.08 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     35.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
