                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  454913655 |  679135592 |  597184994 |  249999984
  Cycles                             |  416710736 |  416710831 |  416710559 |  416709282
  IPC                                |       1.09 |       1.63 |       1.43 |       0.60
  Time (ns)                          |  138903579 |  138903610 |  138903520 |  138903094
Branch predictor stats               |            |            |            |           
  num correct                        |   68653879 |   31261421 |   34276308 |   15199251
  num incorrect                      |    7682631 |     257666 |    5822316 |    9146162
  misprediction rate                 |     10.06% |      0.82% |     14.52% |     37.57%
  mpki                               |      16.89 |       0.38 |       9.75 |      36.58
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   72788784 |   51946980 |   67810598 |   29844534
    num misses                       |       2923 |         43 |         56 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  182929255 |  390805837 |  279977117 |  114926447
    num misses                       |    1011531 |      52052 |     183186 |     791192
    miss rate                        |      0.55% |      0.01% |      0.07% |      0.69%
    mpki                             |       2.22 |       0.08 |       0.31 |       3.16
  L2 TLB                             |            |            |            |           
    num accesses                     |    1014454 |      52095 |     183242 |     791202
    num misses                       |     146249 |      16125 |      28526 |     629351
    miss rate                        |     14.42% |     30.95% |     15.57% |     79.54%
    mpki                             |       0.32 |       0.02 |       0.05 |       2.52
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   72788784 |   51946980 |   67810598 |   29844534
    num cache misses                 |    1407452 |      45007 |     197102 |      16620
    miss rate                        |      1.93% |      0.09% |      0.29% |      0.06%
    mpki                             |       3.09 |       0.07 |       0.33 |       0.07
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  182929255 |  390805837 |  279977117 |  114926447
    num cache misses                 |    1721438 |    3673044 |    1714473 |    1785511
    miss rate                        |      0.94% |      0.94% |      0.61% |      1.55%
    mpki                             |       3.78 |       5.41 |       2.87 |       7.14
  Cache L2                           |            |            |            |           
    num cache accesses               |    3203775 |    3721579 |    1913743 |    2042050
    num cache misses                 |    1703316 |    2569990 |    1348004 |    1674123
    miss rate                        |     53.17% |     69.06% |     70.44% |     81.98%
    mpki                             |       3.74 |       3.78 |       2.26 |       6.70
  Cache L3                           |            |            |            |           
    num cache accesses               |    1778576 |    2573747 |    1350401 |    1936570
    num cache misses                 |     628258 |    1108515 |     580666 |     762776
    miss rate                        |     35.32% |     43.07% |     43.00% |     39.39%
    mpki                             |       1.38 |       1.63 |       0.97 |       3.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |    4980558 |          0 |          0 |          0
  average dram access latency (ns)   |     114.58 |        inf |        inf |        inf
  average dram queueing delay        |       4.57 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     35.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
