                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  413255718 |  594025947 |  489023533 |  249999984
  Cycles                             |  358594805 |  358595020 |  358594800 |  358592746
  IPC                                |       1.15 |       1.66 |       1.36 |       0.70
  Time (ns)                          |  119531602 |  119531673 |  119531600 |  119530915
Branch predictor stats               |            |            |            |           
  num correct                        |   62354067 |   27347878 |   27715768 |   15199251
  num incorrect                      |    6944078 |     226285 |    4734972 |    9146162
  misprediction rate                 |     10.02% |      0.82% |     14.59% |     37.57%
  mpki                               |      16.80 |       0.38 |       9.68 |      36.58
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   66046155 |   45442250 |   54781814 |   29844534
    num misses                       |       2506 |         43 |         56 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  165580249 |  341816120 |  230254246 |  114926447
    num misses                       |     849874 |      45589 |     145604 |     791194
    miss rate                        |      0.51% |      0.01% |      0.06% |      0.69%
    mpki                             |       2.06 |       0.08 |       0.30 |       3.16
  L2 TLB                             |            |            |            |           
    num accesses                     |     852380 |      45632 |     145660 |     791204
    num misses                       |     125628 |      13935 |      23007 |     629349
    miss rate                        |     14.74% |     30.54% |     15.80% |     79.54%
    mpki                             |       0.30 |       0.02 |       0.05 |       2.52
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   66046155 |   45442250 |   54781814 |   29844534
    num cache misses                 |    1151762 |      39792 |     157868 |      16208
    miss rate                        |      1.74% |      0.09% |      0.29% |      0.05%
    mpki                             |       2.79 |       0.07 |       0.32 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  165580249 |  341816120 |  230254246 |  114926447
    num cache misses                 |    1432787 |    3209919 |    1399195 |    1777021
    miss rate                        |      0.87% |      0.94% |      0.61% |      1.55%
    mpki                             |       3.47 |       5.40 |       2.86 |       7.11
  Cache L2                           |            |            |            |           
    num cache accesses               |    2639889 |    3253161 |    1558837 |    1966891
    num cache misses                 |    1437187 |    2245657 |    1091549 |    1666923
    miss rate                        |     54.44% |     69.03% |     70.02% |     84.75%
    mpki                             |       3.48 |       3.78 |       2.23 |       6.67
  Cache L3                           |            |            |            |           
    num cache accesses               |    1492739 |    2249291 |    1093515 |    1861695
    num cache misses                 |     498644 |    1005426 |     585016 |     540419
    miss rate                        |     33.40% |     44.70% |     53.50% |     29.03%
    mpki                             |       1.21 |       1.69 |       1.20 |       2.16
DRAM summary                         |            |            |            |           
  num dram accesses                  |    4310260 |          0 |          0 |          0
  average dram access latency (ns)   |     114.85 |        inf |        inf |        inf
  average dram queueing delay        |       4.84 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     36.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
