                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  356457083 |  437722791 |  249999883 |  386921226
  Cycles                             |  237877021 |  237877200 |  237875070 |  237877206
  IPC                                |       1.50 |       1.84 |       1.05 |       1.63
  Time (ns)                          |   79292340 |   79292400 |   79291690 |   79292402
Branch predictor stats               |            |            |            |           
  num correct                        |   28703105 |   29459576 |   13678195 |   16270613
  num incorrect                      |    4806451 |    4943094 |    9414386 |     930081
  misprediction rate                 |     14.34% |     14.37% |     40.77% |      5.41%
  mpki                               |      13.48 |      11.29 |      37.66 |       2.40
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   52238082 |   53000498 |   20500819 |   37560044
    num misses                       |         65 |         18 |         52 |          8
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  170887075 |  183955546 |   73920987 |  120797298
    num misses                       |     958139 |    1227819 |       4511 |      32392
    miss rate                        |      0.56% |      0.67% |      0.01% |      0.03%
    mpki                             |       2.69 |       2.81 |       0.02 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |     958204 |    1227837 |       4563 |      32400
    num misses                       |       6073 |       9156 |       4160 |       1051
    miss rate                        |      0.63% |      0.75% |     91.17% |      3.24%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   52238082 |   53000498 |   20500819 |   37560044
    num cache misses                 |    1714535 |     429073 |       2222 |       4399
    miss rate                        |      3.28% |      0.81% |      0.01% |      0.01%
    mpki                             |       4.81 |       0.98 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  170887075 |  183955546 |   73920987 |  120797298
    num cache misses                 |    5813651 |     890179 |     265995 |    3257050
    miss rate                        |      3.40% |      0.48% |      0.36% |      2.70%
    mpki                             |      16.31 |       2.03 |       1.06 |       8.42
  Cache L2                           |            |            |            |           
    num cache accesses               |    7528432 |    1320146 |     269616 |    3267801
    num cache misses                 |    1125131 |     106797 |     259537 |      67128
    miss rate                        |     14.95% |      8.09% |     96.26% |      2.05%
    mpki                             |       3.16 |       0.24 |       1.04 |       0.17
  Cache L3                           |            |            |            |           
    num cache accesses               |    1125427 |     107708 |     260947 |      73508
    num cache misses                 |       7167 |       5426 |     256693 |      28834
    miss rate                        |      0.64% |      5.04% |     98.37% |     39.23%
    mpki                             |       0.02 |       0.01 |       1.03 |       0.07
DRAM summary                         |            |            |            |           
  num dram accesses                  |     476772 |          0 |          0 |          0
  average dram access latency (ns)   |     111.83 |        inf |        inf |        inf
  average dram queueing delay        |       1.82 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
