                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  355630892 |  436040496 |  249999883 |  384584763
  Cycles                             |  237940885 |  237940839 |  237938647 |  237940800
  IPC                                |       1.49 |       1.83 |       1.05 |       1.62
  Time (ns)                          |   79313628 |   79313613 |   79312882 |   79313600
Branch predictor stats               |            |            |            |           
  num correct                        |   28635945 |   29358849 |   13678195 |   16107384
  num incorrect                      |    4795673 |    4920889 |    9414386 |     925314
  misprediction rate                 |     14.34% |     14.36% |     40.77% |      5.43%
  mpki                               |      13.48 |      11.29 |      37.66 |       2.41
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   52116895 |   52793457 |   20500819 |   37362143
    num misses                       |         65 |         18 |         52 |          8
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  170492360 |  183233199 |   73920987 |  120312733
    num misses                       |     955910 |    1221649 |       4511 |      32125
    miss rate                        |      0.56% |      0.67% |      0.01% |      0.03%
    mpki                             |       2.69 |       2.80 |       0.02 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |     955975 |    1221667 |       4563 |      32133
    num misses                       |       6067 |       9091 |       4160 |       1039
    miss rate                        |      0.63% |      0.74% |     91.17% |      3.23%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   52116895 |   52793457 |   20500819 |   37362143
    num cache misses                 |    1516421 |     406890 |       1148 |        741
    miss rate                        |      2.91% |      0.77% |      0.01% |      0.00%
    mpki                             |       4.26 |       0.93 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  170492360 |  183233199 |   73920987 |  120312733
    num cache misses                 |    5674920 |     866713 |     265666 |    3250945
    miss rate                        |      3.33% |      0.47% |      0.36% |      2.70%
    mpki                             |      15.96 |       1.99 |       1.06 |       8.45
  Cache L2                           |            |            |            |           
    num cache accesses               |    7191893 |    1275258 |     268213 |    3258182
    num cache misses                 |      14493 |       9945 |     257325 |      40498
    miss rate                        |      0.20% |      0.78% |     95.94% |      1.24%
    mpki                             |       0.04 |       0.02 |       1.03 |       0.11
  Cache L3                           |            |            |            |           
    num cache accesses               |      15178 |      11631 |     258749 |      47059
    num cache misses                 |      14279 |       9936 |     256908 |      31678
    miss rate                        |     94.08% |     85.43% |     99.29% |     67.32%
    mpki                             |       0.04 |       0.02 |       1.03 |       0.08
DRAM summary                         |            |            |            |           
  num dram accesses                  |     492980 |          0 |          0 |          0
  average dram access latency (ns)   |     111.94 |        inf |        inf |        inf
  average dram queueing delay        |       1.93 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
