                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  378059822 |  455319897 |  249999923 |  390955690
  Cycles                             |  253922012 |  253922114 |  253918972 |  253922117
  IPC                                |       1.49 |       1.79 |       0.98 |       1.54
  Time (ns)                          |   84640671 |   84640705 |   84639657 |   84640706
Branch predictor stats               |            |            |            |           
  num correct                        |   30462537 |   30472747 |   13678195 |   16531807
  num incorrect                      |    5091609 |    5160175 |    9414386 |     940272
  misprediction rate                 |     14.32% |     14.48% |     40.77% |      5.38%
  mpki                               |      13.47 |      11.33 |      37.66 |       2.41
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   55428488 |   55164131 |   20500819 |   37905472
    num misses                       |         65 |         18 |         52 |          8
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  181253830 |  191489367 |   73920987 |  121707873
    num misses                       |    1020430 |    1296234 |       4511 |      33015
    miss rate                        |      0.56% |      0.68% |      0.01% |      0.03%
    mpki                             |       2.70 |       2.85 |       0.02 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |    1020495 |    1296252 |       4563 |      33023
    num misses                       |       6273 |       9854 |       4160 |       1065
    miss rate                        |      0.61% |      0.76% |     91.17% |      3.23%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   55428488 |   55164131 |   20500819 |   37905472
    num cache misses                 |    1639776 |     431012 |      25464 |       6645
    miss rate                        |      2.96% |      0.78% |      0.12% |      0.02%
    mpki                             |       4.34 |       0.95 |       0.10 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  181253830 |  191489367 |   73920987 |  121707873
    num cache misses                 |    6003961 |     909421 |     320287 |    3299313
    miss rate                        |      3.31% |      0.47% |      0.43% |      2.71%
    mpki                             |      15.88 |       2.00 |       1.28 |       8.44
  Cache L2                           |            |            |            |           
    num cache accesses               |    7644357 |    1347089 |     353124 |    3322406
    num cache misses                 |      30324 |      35956 |     335221 |      98771
    miss rate                        |      0.40% |      2.67% |     94.93% |      2.97%
    mpki                             |       0.08 |       0.08 |       1.34 |       0.25
  Cache L3                           |            |            |            |           
    num cache accesses               |      31059 |      42653 |     342730 |     115336
    num cache misses                 |      18312 |      31937 |     335049 |      86871
    miss rate                        |     58.96% |     74.88% |     97.76% |     75.32%
    mpki                             |       0.05 |       0.07 |       1.34 |       0.22
DRAM summary                         |            |            |            |           
  num dram accesses                  |     735887 |          0 |          0 |          0
  average dram access latency (ns)   |     111.65 |        inf |        inf |        inf
  average dram queueing delay        |       1.64 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      8.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
