                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  359606886 |  440325644 |  249999883 |  392649042
  Cycles                             |  238722012 |  238721923 |  238719796 |  238722029
  IPC                                |       1.51 |       1.84 |       1.05 |       1.64
  Time (ns)                          |   79574004 |   79573974 |   79573265 |   79574010
Branch predictor stats               |            |            |            |           
  num correct                        |   28959122 |   29602172 |   13678195 |   16630398
  num incorrect                      |    4847523 |    4973516 |    9414386 |     945420
  misprediction rate                 |     14.34% |     14.38% |     40.77% |      5.38%
  mpki                               |      13.48 |      11.30 |      37.66 |       2.41
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   52700763 |   53316168 |   20500819 |   38053491
    num misses                       |         65 |         18 |         52 |          8
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  172392631 |  185043843 |   73920987 |  122132154
    num misses                       |     967112 |    1236271 |       4511 |      33134
    miss rate                        |      0.56% |      0.67% |      0.01% |      0.03%
    mpki                             |       2.69 |       2.81 |       0.02 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |     967177 |    1236289 |       4563 |      33142
    num misses                       |       6106 |       9266 |       4160 |       1073
    miss rate                        |      0.63% |      0.75% |     91.17% |      3.24%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   52700763 |   53316168 |   20500819 |   38053491
    num cache misses                 |    1536267 |     408092 |       1006 |        342
    miss rate                        |      2.92% |      0.77% |      0.00% |      0.00%
    mpki                             |       4.27 |       0.93 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  172392631 |  185043843 |   73920987 |  122132154
    num cache misses                 |    5731209 |     869447 |     265618 |    3272554
    miss rate                        |      3.32% |      0.47% |      0.36% |      2.68%
    mpki                             |      15.94 |       1.97 |       1.06 |       8.33
  Cache L2                           |            |            |            |           
    num cache accesses               |    7267705 |    1278104 |     268028 |    3277900
    num cache misses                 |       8200 |       2624 |     257106 |      32596
    miss rate                        |      0.11% |      0.21% |     95.93% |      0.99%
    mpki                             |       0.02 |       0.01 |       1.03 |       0.08
  Cache L3                           |            |            |            |           
    num cache accesses               |       8488 |       3193 |     258535 |      37602
    num cache misses                 |       8200 |       2624 |     256930 |      21837
    miss rate                        |     96.61% |     82.18% |     99.38% |     58.07%
    mpki                             |       0.02 |       0.01 |       1.03 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |     479968 |          0 |          0 |          0
  average dram access latency (ns)   |     111.84 |        inf |        inf |        inf
  average dram queueing delay        |       1.83 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
