                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  369705787 |  449894293 |  249999883 |  391241986
  Cycles                             |  244997408 |  244997400 |  244995551 |  244997363
  IPC                                |       1.51 |       1.84 |       1.02 |       1.60
  Time (ns)                          |   81665803 |   81665800 |   81665184 |   81665788
Branch predictor stats               |            |            |            |           
  num correct                        |   29783176 |   30163445 |   13678195 |   16549169
  num incorrect                      |    4980313 |    5095993 |    9414386 |     941167
  misprediction rate                 |     14.33% |     14.45% |     40.77% |      5.38%
  mpki                               |      13.47 |      11.33 |      37.66 |       2.41
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   54193282 |   54504390 |   20500819 |   37930154
    num misses                       |         65 |         18 |         52 |          8
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  177240082 |  189207727 |   73920987 |  121776897
    num misses                       |     995959 |    1278387 |       4511 |      33058
    miss rate                        |      0.56% |      0.68% |      0.01% |      0.03%
    mpki                             |       2.69 |       2.84 |       0.02 |       0.08
  L2 TLB                             |            |            |            |           
    num accesses                     |     996024 |    1278405 |       4563 |      33066
    num misses                       |       6190 |       9700 |       4160 |       1065
    miss rate                        |      0.62% |      0.76% |     91.17% |      3.22%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   54193282 |   54504390 |   20500819 |   37930154
    num cache misses                 |    1592337 |     419140 |       1688 |       1520
    miss rate                        |      2.94% |      0.77% |      0.01% |      0.00%
    mpki                             |       4.31 |       0.93 |       0.01 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  177240082 |  189207727 |   73920987 |  121776897
    num cache misses                 |    5878878 |     880102 |     266319 |    3270638
    miss rate                        |      3.32% |      0.47% |      0.36% |      2.69%
    mpki                             |      15.90 |       1.96 |       1.07 |       8.36
  Cache L2                           |            |            |            |           
    num cache accesses               |    7471392 |    1300188 |     269740 |    3281160
    num cache misses                 |      16262 |       5227 |     259186 |      50936
    miss rate                        |      0.22% |      0.40% |     96.09% |      1.55%
    mpki                             |       0.04 |       0.01 |       1.04 |       0.13
  Cache L3                           |            |            |            |           
    num cache accesses               |      16486 |       6177 |     261128 |      59958
    num cache misses                 |       5999 |       4455 |     258384 |      42451
    miss rate                        |     36.39% |     72.12% |     98.95% |     70.80%
    mpki                             |       0.02 |       0.01 |       1.03 |       0.11
DRAM summary                         |            |            |            |           
  num dram accesses                  |     515995 |          0 |          0 |          0
  average dram access latency (ns)   |     129.91 |        inf |        inf |        inf
  average dram queueing delay        |       9.89 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     12.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
