                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999979 |  266289812 |  410621545 |  458411470
  Cycles                             |  254238532 |  254240526 |  254240701 |  254240651
  IPC                                |       0.98 |       1.05 |       1.62 |       1.80
  Time (ns)                          |   84746178 |   84746842 |   84746901 |   84746884
Branch predictor stats               |            |            |            |           
  num correct                        |   38222132 |   14084646 |   17423275 |   57589190
  num incorrect                      |    9793313 |   10213172 |    1002497 |    6451808
  misprediction rate                 |     20.40% |     42.03% |      5.44% |     10.07%
  mpki                               |      39.17 |      38.35 |       2.44 |      14.07
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   32523298 |   21519262 |   39681850 |   70884378
    num misses                       |         19 |         52 |          8 |        358
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   84159510 |   78257328 |  127570829 |  185612752
    num misses                       |     372543 |       4541 |      36077 |      54679
    miss rate                        |      0.44% |      0.01% |      0.03% |      0.03%
    mpki                             |       1.49 |       0.02 |       0.09 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |     372562 |       4593 |      36085 |      55037
    num misses                       |      78120 |       4190 |       1105 |       1798
    miss rate                        |     20.97% |     91.23% |      3.06% |      3.27%
    mpki                             |       0.31 |       0.02 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   32523298 |   21519262 |   39681850 |   70884378
    num cache misses                 |     164706 |       2676 |       5083 |    1507202
    miss rate                        |      0.51% |      0.01% |      0.01% |      2.13%
    mpki                             |       0.66 |       0.01 |       0.01 |       3.29
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   84159510 |   78257328 |  127570829 |  185612752
    num cache misses                 |     343163 |     268402 |    3448282 |    1442445
    miss rate                        |      0.41% |      0.34% |      2.70% |      0.78%
    mpki                             |       1.37 |       1.01 |       8.40 |       3.15
  Cache L2                           |            |            |            |           
    num cache accesses               |     573683 |     273559 |    3461794 |    2954142
    num cache misses                 |     224641 |     261439 |      78011 |     196018
    miss rate                        |     39.16% |     95.57% |      2.25% |      6.64%
    mpki                             |       0.90 |       0.98 |       0.19 |       0.43
  Cache L3                           |            |            |            |           
    num cache accesses               |     291563 |     263956 |      86529 |     200514
    num cache misses                 |      87088 |     259164 |      39617 |      56727
    miss rate                        |     29.87% |     98.18% |     45.78% |     28.29%
    mpki                             |       0.35 |       0.97 |       0.10 |       0.12
DRAM summary                         |            |            |            |           
  num dram accesses                  |     730058 |          0 |          0 |          0
  average dram access latency (ns)   |     112.20 |        inf |        inf |        inf
  average dram queueing delay        |       2.19 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      8.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
