                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999979 |  283302372 |  421038999 |  477813467
  Cycles                             |  273447029 |  273450000 |  273449707 |  273449708
  IPC                                |       0.91 |       1.04 |       1.54 |       1.75
  Time (ns)                          |   91149010 |   91150000 |   91149903 |   91149903
Branch predictor stats               |            |            |            |           
  num correct                        |   38222132 |   14525160 |   17907245 |   61254744
  num incorrect                      |    9793313 |   11032277 |    1035382 |    6659748
  misprediction rate                 |     20.40% |     43.17% |      5.47% |      9.81%
  mpki                               |      39.17 |      38.94 |       2.46 |      13.94
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   32523298 |   22597436 |   40619224 |   72979185
    num misses                       |         19 |         52 |          8 |        371
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   84159510 |   82791663 |  130633240 |  191182973
    num misses                       |     372582 |       4648 |      37704 |      56526
    miss rate                        |      0.44% |      0.01% |      0.03% |      0.03%
    mpki                             |       1.49 |       0.02 |       0.09 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |     372601 |       4700 |      37712 |      56897
    num misses                       |      78120 |       4244 |       1130 |       1874
    miss rate                        |     20.97% |     90.30% |      3.00% |      3.29%
    mpki                             |       0.31 |       0.01 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   32523298 |   22597436 |   40619224 |   72979185
    num cache misses                 |     150143 |       4383 |       3664 |    1531970
    miss rate                        |      0.46% |      0.02% |      0.01% |      2.10%
    mpki                             |       0.60 |       0.02 |       0.01 |       3.21
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   84159510 |   82791663 |  130633240 |  191182973
    num cache misses                 |     340332 |     277082 |    3544380 |    1598036
    miss rate                        |      0.40% |      0.33% |      2.71% |      0.84%
    mpki                             |       1.36 |       0.98 |       8.42 |       3.34
  Cache L2                           |            |            |            |           
    num cache accesses               |     566154 |     287990 |    3563280 |    3147076
    num cache misses                 |     190533 |     268189 |      90253 |     180436
    miss rate                        |     33.65% |     93.12% |      2.53% |      5.73%
    mpki                             |       0.76 |       0.95 |       0.21 |       0.38
  Cache L3                           |            |            |            |           
    num cache accesses               |     267927 |     274828 |     105865 |     197601
    num cache misses                 |     172109 |     267580 |      85533 |      99155
    miss rate                        |     64.24% |     97.36% |     80.79% |     50.18%
    mpki                             |       0.69 |       0.94 |       0.20 |       0.21
DRAM summary                         |            |            |            |           
  num dram accesses                  |     994348 |          0 |          0 |          0
  average dram access latency (ns)   |     112.08 |        inf |        inf |        inf
  average dram queueing delay        |       2.07 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     10.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
