                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999979 |  269375374 |  421984563 |  482859334
  Cycles                             |  266422882 |  266425212 |  266425217 |  266425168
  IPC                                |       0.94 |       1.01 |       1.58 |       1.81
  Time (ns)                          |   88807628 |   88808404 |   88808406 |   88808390
Branch predictor stats               |            |            |            |           
  num correct                        |   38222132 |   14161659 |   17955664 |   62496415
  num incorrect                      |    9793313 |   10364458 |    1038726 |    6677651
  misprediction rate                 |     20.40% |     42.26% |      5.47% |      9.65%
  mpki                               |      39.17 |      38.48 |       2.46 |      13.83
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   32523298 |   21712177 |   40702924 |   73406802
    num misses                       |         19 |         52 |          8 |        371
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   84159510 |   79078743 |  130894519 |  192019887
    num misses                       |     372571 |       4541 |      38090 |      56903
    miss rate                        |      0.44% |      0.01% |      0.03% |      0.03%
    mpki                             |       1.49 |       0.02 |       0.09 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |     372590 |       4593 |      38098 |      57274
    num misses                       |      78123 |       4190 |       1134 |       1876
    miss rate                        |     20.97% |     91.23% |      2.98% |      3.28%
    mpki                             |       0.31 |       0.02 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   32523298 |   21712177 |   40702924 |   73406802
    num cache misses                 |     133129 |       2302 |       2023 |    1530783
    miss rate                        |      0.41% |      0.01% |      0.00% |      2.09%
    mpki                             |       0.53 |       0.01 |       0.00 |       3.17
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   84159510 |   79078743 |  130894519 |  192019887
    num cache misses                 |     325904 |     268202 |    3542462 |    1836173
    miss rate                        |      0.39% |      0.34% |      2.71% |      0.96%
    mpki                             |       1.30 |       1.00 |       8.39 |       3.80
  Cache L2                           |            |            |            |           
    num cache accesses               |     528596 |     272760 |    3555831 |    3372930
    num cache misses                 |     156780 |     260546 |      63051 |     174280
    miss rate                        |     29.66% |     95.52% |      1.77% |      5.17%
    mpki                             |       0.63 |       0.97 |       0.15 |       0.36
  Cache L3                           |            |            |            |           
    num cache accesses               |     227704 |     262835 |      74469 |     180261
    num cache misses                 |     127073 |     258738 |      51091 |      43743
    miss rate                        |     55.81% |     98.44% |     68.61% |     24.27%
    mpki                             |       0.51 |       0.96 |       0.12 |       0.09
DRAM summary                         |            |            |            |           
  num dram accesses                  |     780315 |          0 |          0 |          0
  average dram access latency (ns)   |     129.90 |        inf |        inf |        inf
  average dram queueing delay        |       9.88 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     17.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
