                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999979 |  266469718 |  411247217 |  458190515
  Cycles                             |  254334628 |  254336513 |  254336409 |  254336434
  IPC                                |       0.98 |       1.05 |       1.62 |       1.80
  Time (ns)                          |   84778210 |   84778838 |   84778803 |   84778812
Branch predictor stats               |            |            |            |           
  num correct                        |   38222132 |   14089110 |   17450264 |   57562861
  num incorrect                      |    9793313 |   10222008 |    1004571 |    6447692
  misprediction rate                 |     20.40% |     42.05% |      5.44% |     10.07%
  mpki                               |      39.17 |      38.36 |       2.44 |      14.07
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   32523298 |   21530500 |   39738481 |   70849080
    num misses                       |         19 |         52 |          8 |        358
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   84159510 |   78305182 |  127762339 |  185521833
    num misses                       |     372568 |       4541 |      36102 |      54684
    miss rate                        |      0.44% |      0.01% |      0.03% |      0.03%
    mpki                             |       1.49 |       0.02 |       0.09 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |     372587 |       4593 |      36110 |      55042
    num misses                       |      78123 |       4190 |       1105 |       1798
    miss rate                        |     20.97% |     91.23% |      3.06% |      3.27%
    mpki                             |       0.31 |       0.02 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   32523298 |   21530500 |   39738481 |   70849080
    num cache misses                 |     120056 |       1934 |       1563 |    1499471
    miss rate                        |      0.37% |      0.01% |      0.00% |      2.12%
    mpki                             |       0.48 |       0.01 |       0.00 |       3.27
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   84159510 |   78305182 |  127762339 |  185521833
    num cache misses                 |     314733 |     267926 |    3451592 |    1437874
    miss rate                        |      0.37% |      0.34% |      2.70% |      0.78%
    mpki                             |       1.26 |       1.01 |       8.39 |       3.14
  Cache L2                           |            |            |            |           
    num cache accesses               |     500897 |     272255 |    3461405 |    2940877
    num cache misses                 |     124819 |     259711 |      48944 |     149949
    miss rate                        |     24.92% |     95.39% |      1.41% |      5.10%
    mpki                             |       0.50 |       0.97 |       0.12 |       0.33
  Cache L3                           |            |            |            |           
    num cache accesses               |     192106 |     262135 |      57259 |     153492
    num cache misses                 |      88499 |     258894 |      37701 |      49487
    miss rate                        |     46.07% |     98.76% |     65.84% |     32.24%
    mpki                             |       0.35 |       0.97 |       0.09 |       0.11
DRAM summary                         |            |            |            |           
  num dram accesses                  |     717444 |          0 |          0 |          0
  average dram access latency (ns)   |     112.06 |        inf |        inf |        inf
  average dram queueing delay        |       2.05 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      8.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
