                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999979 |  267109746 |  410365642 |  455473028
  Cycles                             |  255512222 |  255515100 |  255515101 |  255515258
  IPC                                |       0.98 |       1.05 |       1.61 |       1.78
  Time (ns)                          |   85170741 |   85171700 |   85171700 |   85171753
Branch predictor stats               |            |            |            |           
  num correct                        |   38222132 |   14104997 |   17412693 |   57237819
  num incorrect                      |    9793313 |   10253452 |    1001684 |    6397935
  misprediction rate                 |     20.40% |     42.09% |      5.44% |     10.05%
  mpki                               |      39.17 |      38.39 |       2.44 |      14.05
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   32523298 |   21570487 |   39658567 |   70414742
    num misses                       |         19 |         52 |          8 |        358
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   84159510 |   78475428 |  127490849 |  184404709
    num misses                       |     372579 |       4541 |      36063 |      54681
    miss rate                        |      0.44% |      0.01% |      0.03% |      0.03%
    mpki                             |       1.49 |       0.02 |       0.09 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |     372598 |       4593 |      36071 |      55039
    num misses                       |      78124 |       4190 |       1105 |       1798
    miss rate                        |     20.97% |     91.23% |      3.06% |      3.27%
    mpki                             |       0.31 |       0.02 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   32523298 |   21570487 |   39658567 |   70414742
    num cache misses                 |     104831 |       1671 |        789 |    1484776
    miss rate                        |      0.32% |      0.01% |      0.00% |      2.11%
    mpki                             |       0.42 |       0.01 |       0.00 |       3.26
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   84159510 |   78475428 |  127490849 |  184404709
    num cache misses                 |     310443 |     268336 |    3446302 |    1437589
    miss rate                        |      0.37% |      0.34% |      2.70% |      0.78%
    mpki                             |       1.24 |       1.00 |       8.40 |       3.16
  Cache L2                           |            |            |            |           
    num cache accesses               |     481880 |     272533 |    3455786 |    2928850
    num cache misses                 |      98920 |     259660 |      45393 |      70135
    miss rate                        |     20.53% |     95.28% |      1.31% |      2.39%
    mpki                             |       0.40 |       0.97 |       0.11 |       0.15
  Cache L3                           |            |            |            |           
    num cache accesses               |     166759 |     262251 |      54204 |      78001
    num cache misses                 |      93592 |     259473 |      43403 |      63901
    miss rate                        |     56.12% |     98.94% |     80.07% |     81.92%
    mpki                             |       0.37 |       0.97 |       0.11 |       0.14
DRAM summary                         |            |            |            |           
  num dram accesses                  |     754189 |          0 |          0 |          0
  average dram access latency (ns)   |     112.19 |        inf |        inf |        inf
  average dram queueing delay        |       2.18 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      8.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
