                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  3060625932 |   895816620 |  6099912972 |  3182671096 |  3645653630 |   487765869 |  2217887979 |   249999989
  Cycles                             |  3188115664 |  3188115660 |  3188115651 |  3188115674 |  3188115666 |  3188116351 |  3188116843 |  3188114440
  IPC                                |        0.96 |        0.28 |        1.91 |        1.00 |        1.14 |        0.15 |        0.70 |        0.08
  Time (ns)                          |  1062705222 |  1062705220 |  1062705217 |  1062705225 |  1062705222 |  1062705451 |  1062705615 |  1062704814
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   467756838 |   123119505 |  1125742646 |   168729916 |   549904553 |   114265847 |   336996706 |    43244780
  num incorrect                      |   120008322 |    16926802 |    76797249 |   121898333 |    61756980 |    12690225 |    72890606 |    11689069
  misprediction rate                 |      20.42% |      12.09% |       6.39% |      41.94% |      10.10% |      10.00% |      17.78% |      21.28%
  mpki                               |       39.21 |       18.90 |       12.59 |       38.30 |       16.94 |       26.02 |       32.86 |       46.76
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   398211328 |   156923263 |  1000233577 |   257459062 |   583626600 |    41244821 |   306911814 |    23761816
    num misses                       |          19 |         107 |          39 |          52 |       21330 |       33860 |         432 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.08% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.07 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |  1030153196 |   417423778 |  1987955402 |   935689404 |  1467461419 |   169015990 |   860599213 |    88558906
    num misses                       |     4561793 |    16249954 |          23 |       54453 |     8130531 |     2600814 |     4574382 |    21160196
    miss rate                        |       0.44% |       3.89% |       0.00% |       0.01% |       0.55% |       1.54% |       0.53% |      23.89%
    mpki                             |        1.49 |       18.14 |        0.00 |        0.02 |        2.23 |        5.33 |        2.06 |       84.64
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     4561812 |    16250061 |          62 |       54505 |     8151861 |     2634674 |     4574814 |    21160199
    num misses                       |      954923 |     4857865 |          62 |       48552 |     1162554 |     2228462 |      436804 |    10898293
    miss rate                        |      20.93% |      29.89% |     100.00% |      89.08% |      14.26% |      84.58% |       9.55% |      51.50%
    mpki                             |        0.31 |        5.42 |        0.00 |        0.02 |        0.32 |        4.57 |        0.20 |       43.59
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   398211328 |   156923263 |  1000233577 |   257459062 |   583626600 |    41244821 |   306911814 |    23761816
    num cache misses                 |     2046976 |     3372375 |     9498379 |       79907 |    11000322 |      784793 |    17883443 |      189562
    miss rate                        |       0.51% |       2.15% |       0.95% |       0.03% |       1.88% |       1.90% |       5.83% |       0.80%
    mpki                             |        0.67 |        3.76 |        1.56 |        0.03 |        3.02 |        1.61 |        8.06 |        0.76
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |  1030153196 |   417423778 |  1987955402 |   935689404 |  1467461419 |   169015990 |   860599213 |    88558906
    num cache misses                 |     4250056 |    23718970 |      100229 |     3391074 |    13615755 |    14548086 |    19314571 |    28748651
    miss rate                        |       0.41% |       5.68% |       0.01% |       0.36% |       0.93% |       8.61% |       2.24% |      32.46%
    mpki                             |        1.39 |       26.48 |        0.02 |        1.07 |        3.73 |       29.83 |        8.71 |      114.99
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7131059 |    31096867 |     9613279 |     3592430 |    25060153 |    15367028 |    38007377 |    32549532
    num cache misses                 |     2855525 |    23284557 |      303626 |     3306986 |    13208757 |    14696618 |    18786888 |    24325510
    miss rate                        |      40.04% |      74.88% |       3.16% |      92.05% |      52.71% |      95.64% |      49.43% |      74.73%
    mpki                             |        0.93 |       25.99 |        0.05 |        1.04 |        3.62 |       30.13 |        8.47 |       97.30
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     3704186 |    27294934 |      318297 |     3430297 |    13654515 |    14731776 |    19597442 |    27962471
    num cache misses                 |     1277660 |    13774152 |      300361 |     3283820 |     4009871 |    13717473 |     4759740 |    16002038
    miss rate                        |      34.49% |      50.46% |      94.37% |      95.73% |      29.37% |      93.11% |      24.29% |      57.23%
    mpki                             |        0.42 |       15.38 |        0.05 |        1.03 |        1.10 |       28.12 |        2.15 |       64.01
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |    72758373 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      126.09 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       16.08 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      68.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
