                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999979 |  359775102 |  257639734 |  445055419
  Cycles                             |  263335982 |  263337851 |  263337914 |  263337901
  IPC                                |       0.95 |       1.37 |       0.98 |       1.69
  Time (ns)                          |   87778661 |   87779284 |   87779305 |   87779301
Branch predictor stats               |            |            |            |           
  num correct                        |   38222132 |   28973077 |    5208578 |   55986541
  num incorrect                      |    9793313 |    4849748 |     788658 |    6208794
  misprediction rate                 |     20.40% |     14.34% |     13.15% |      9.98%
  mpki                               |      39.17 |      13.48 |       3.06 |      13.95
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   32523298 |   52725766 |   24688309 |   68746588
    num misses                       |         19 |         65 |         62 |        358
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   84159510 |  172473825 |  130728251 |  180123062
    num misses                       |     372565 |     967567 |     295480 |      54642
    miss rate                        |      0.44% |      0.56% |      0.23% |      0.03%
    mpki                             |       1.49 |       2.69 |       1.15 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |     372584 |     967632 |     295542 |      55000
    num misses                       |      78123 |       6111 |       4293 |       1799
    miss rate                        |     20.97% |      0.63% |      1.45% |      3.27%
    mpki                             |       0.31 |       0.02 |       0.02 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   32523298 |   52725766 |   24688309 |   68746588
    num cache misses                 |     130758 |    1556996 |      12314 |    1448623
    miss rate                        |      0.40% |      2.95% |      0.05% |      2.11%
    mpki                             |       0.52 |       4.33 |       0.05 |       3.25
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   84159510 |  172473825 |  130728251 |  180123062
    num cache misses                 |     327744 |    5751357 |    2066834 |    1442982
    miss rate                        |      0.39% |      3.33% |      1.58% |      0.80%
    mpki                             |       1.31 |      15.99 |       8.02 |       3.24
  Cache L2                           |            |            |            |           
    num cache accesses               |     530164 |    7312664 |    2132318 |    2905416
    num cache misses                 |     155411 |     111576 |     490752 |     171527
    miss rate                        |     29.31% |      1.53% |     23.01% |      5.90%
    mpki                             |       0.62 |       0.31 |       1.90 |       0.39
  Cache L3                           |            |            |            |           
    num cache accesses               |     228665 |     116787 |     544117 |     185420
    num cache misses                 |     131538 |      95867 |     286931 |     129456
    miss rate                        |     57.52% |     82.09% |     52.73% |     69.82%
    mpki                             |       0.53 |       0.27 |       1.11 |       0.29
DRAM summary                         |            |            |            |           
  num dram accesses                  |     897560 |          0 |          0 |          0
  average dram access latency (ns)   |     111.83 |        inf |        inf |        inf
  average dram queueing delay        |       1.82 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     10.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
