                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999979 |  394276901 |  260013787 |  464849345
  Cycles                             |  265287027 |  265289856 |  265290000 |  265290014
  IPC                                |       0.94 |       1.49 |       0.98 |       1.75
  Time (ns)                          |   88429009 |   88429952 |   88430000 |   88430005
Branch predictor stats               |            |            |            |           
  num correct                        |   38222132 |   31782201 |    5385940 |   58360266
  num incorrect                      |    9793313 |    5311499 |     814087 |    6568132
  misprediction rate                 |     20.40% |     14.32% |     13.13% |     10.12%
  mpki                               |      39.17 |      13.47 |       3.13 |      14.13
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   32523298 |   57824476 |   24961816 |   71911787
    num misses                       |         19 |         65 |         62 |        358
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   84159510 |  189041892 |  131823751 |  188259288
    num misses                       |     372572 |    1066864 |     299835 |      54693
    miss rate                        |      0.44% |      0.56% |      0.23% |      0.03%
    mpki                             |       1.49 |       2.71 |       1.15 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |     372591 |    1066929 |     299897 |      55051
    num misses                       |      78122 |       6455 |       4356 |       1799
    miss rate                        |     20.97% |      0.61% |      1.45% |      3.27%
    mpki                             |       0.31 |       0.02 |       0.02 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   32523298 |   57824476 |   24961816 |   71911787
    num cache misses                 |     124146 |    1721899 |      12038 |    1529575
    miss rate                        |      0.38% |      2.98% |      0.05% |      2.13%
    mpki                             |       0.50 |       4.37 |       0.05 |       3.29
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   84159510 |  189041892 |  131823751 |  188259288
    num cache misses                 |     318596 |    6240323 |    2099753 |    1438913
    miss rate                        |      0.38% |      3.30% |      1.59% |      0.76%
    mpki                             |       1.27 |      15.83 |       8.08 |       3.10
  Cache L2                           |            |            |            |           
    num cache accesses               |     510903 |    7962683 |    2140809 |    2975193
    num cache misses                 |     134144 |      25255 |     458324 |     153091
    miss rate                        |     26.26% |      0.32% |     21.41% |      5.15%
    mpki                             |       0.54 |       0.06 |       1.76 |       0.33
  Cache L3                           |            |            |            |           
    num cache accesses               |     203616 |      25815 |     487493 |     159842
    num cache misses                 |     102770 |      14138 |     168883 |      51941
    miss rate                        |     50.47% |     54.77% |     34.64% |     32.50%
    mpki                             |       0.41 |       0.04 |       0.65 |       0.11
DRAM summary                         |            |            |            |           
  num dram accesses                  |     486636 |          0 |          0 |          0
  average dram access latency (ns)   |     170.18 |        inf |        inf |        inf
  average dram queueing delay        |      30.14 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     22.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
