                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999979 |  385357261 |  263542950 |  465056912
  Cycles                             |  263322753 |  263326726 |  263326674 |  263326971
  IPC                                |       0.95 |       1.46 |       1.00 |       1.77
  Time (ns)                          |   87774251 |   87775576 |   87775558 |   87775657
Branch predictor stats               |            |            |            |           
  num correct                        |   38222132 |   31056776 |    5589100 |   58389717
  num incorrect                      |    9793313 |    5190234 |     842295 |    6571005
  misprediction rate                 |     20.40% |     14.32% |     13.10% |     10.12%
  mpki                               |      39.17 |      13.47 |       3.20 |      14.13
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   32523298 |   56507448 |   25354559 |   71943145
    num misses                       |         19 |         65 |         62 |        358
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   84159510 |  184762630 |  133633660 |  188340615
    num misses                       |     372580 |    1041760 |     305053 |      54707
    miss rate                        |      0.44% |      0.56% |      0.23% |      0.03%
    mpki                             |       1.49 |       2.70 |       1.16 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |     372599 |    1041825 |     305115 |      55065
    num misses                       |      78122 |       6343 |       4415 |       1798
    miss rate                        |     20.97% |      0.61% |      1.45% |      3.27%
    mpki                             |       0.31 |       0.02 |       0.02 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   32523298 |   56507448 |   25354559 |   71943145
    num cache misses                 |     118245 |    1679740 |       5321 |    1530538
    miss rate                        |      0.36% |      2.97% |      0.02% |      2.13%
    mpki                             |       0.47 |       4.36 |       0.02 |       3.29
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   84159510 |  184762630 |  133633660 |  188340615
    num cache misses                 |     324847 |    6119021 |    2151509 |    1442286
    miss rate                        |      0.39% |      3.31% |      1.61% |      0.77%
    mpki                             |       1.30 |      15.88 |       8.16 |       3.10
  Cache L2                           |            |            |            |           
    num cache accesses               |     514194 |    7800966 |    2204381 |    2982177
    num cache misses                 |     131911 |      38906 |     277105 |      84091
    miss rate                        |     25.65% |      0.50% |     12.57% |      2.82%
    mpki                             |       0.53 |       0.10 |       1.05 |       0.18
  Cache L3                           |            |            |            |           
    num cache accesses               |     204389 |      41264 |     325888 |      94093
    num cache misses                 |     127459 |      38612 |     233328 |      64070
    miss rate                        |     62.36% |     93.57% |     71.60% |     68.09%
    mpki                             |       0.51 |       0.10 |       0.89 |       0.14
DRAM summary                         |            |            |            |           
  num dram accesses                  |     648215 |          0 |          0 |          0
  average dram access latency (ns)   |     111.53 |        inf |        inf |        inf
  average dram queueing delay        |       1.52 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
