                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999979 |  375205873 |  271856019 |  372638381
  Cycles                             |  257768147 |  257770618 |  257770695 |  257770687
  IPC                                |       0.97 |       1.46 |       1.05 |       1.45
  Time (ns)                          |   85922716 |   85923539 |   85923565 |   85923562
Branch predictor stats               |            |            |            |           
  num correct                        |   38222132 |   30230591 |    6194144 |   48235146
  num incorrect                      |    9793313 |    5053475 |     926267 |    5026000
  misprediction rate                 |     20.40% |     14.32% |     13.01% |      9.44%
  mpki                               |      39.17 |      13.47 |       3.41 |      13.49
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   32523298 |   55006481 |   26315967 |   57262840
    num misses                       |         19 |         65 |         62 |        327
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   84159510 |  179882705 |  137603523 |  149037472
    num misses                       |     372580 |    1012075 |     318817 |      53768
    miss rate                        |      0.44% |      0.56% |      0.23% |      0.04%
    mpki                             |       1.49 |       2.70 |       1.17 |       0.14
  L2 TLB                             |            |            |            |           
    num accesses                     |     372599 |    1012140 |     318879 |      54095
    num misses                       |      78123 |       6243 |       4615 |       1580
    miss rate                        |     20.97% |      0.62% |      1.45% |      2.92%
    mpki                             |       0.31 |       0.02 |       0.02 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   32523298 |   55006481 |   26315967 |   57262840
    num cache misses                 |     113665 |    1626099 |       4770 |    1296473
    miss rate                        |      0.35% |      2.96% |      0.02% |      2.26%
    mpki                             |       0.45 |       4.33 |       0.02 |       3.48
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   84159510 |  179882705 |  137603523 |  149037472
    num cache misses                 |     315595 |    5964858 |    2271811 |    1478302
    miss rate                        |      0.37% |      3.32% |      1.65% |      0.99%
    mpki                             |       1.26 |      15.90 |       8.36 |       3.97
  Cache L2                           |            |            |            |           
    num cache accesses               |     497045 |    7592581 |    2299546 |    2802392
    num cache misses                 |     116056 |      40140 |     302373 |     275241
    miss rate                        |     23.35% |      0.53% |     13.15% |      9.82%
    mpki                             |       0.46 |       0.11 |       1.11 |       0.74
  Cache L3                           |            |            |            |           
    num cache accesses               |     185108 |      42135 |     326402 |     302915
    num cache misses                 |     103618 |      39369 |     163250 |     260084
    miss rate                        |     55.98% |     93.44% |     50.02% |     85.86%
    mpki                             |       0.41 |       0.10 |       0.60 |       0.70
DRAM summary                         |            |            |            |           
  num dram accesses                  |     740991 |          0 |          0 |          0
  average dram access latency (ns)   |     111.12 |        inf |        inf |        inf
  average dram queueing delay        |       1.11 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      8.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
