                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999979 |  381906018 |  273072241 |  460277917
  Cycles                             |  254964607 |  254966310 |  254966294 |  254966288
  IPC                                |       0.98 |       1.50 |       1.07 |       1.81
  Time (ns)                          |   84988202 |   84988770 |   84988765 |   84988763
Branch predictor stats               |            |            |            |           
  num correct                        |   38222132 |   30775487 |    6196777 |   57812556
  num incorrect                      |    9793313 |    5143386 |     926375 |    6485966
  misprediction rate                 |     20.40% |     14.32% |     13.01% |     10.09%
  mpki                               |      39.17 |      13.47 |       3.39 |      14.09
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   32523298 |   55997253 |   26427159 |   71182470
    num misses                       |         19 |         65 |         62 |        358
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   84159510 |  183103106 |  138290479 |  186379919
    num misses                       |     372556 |    1031644 |     319286 |      54664
    miss rate                        |      0.44% |      0.56% |      0.23% |      0.03%
    mpki                             |       1.49 |       2.70 |       1.17 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |     372575 |    1031709 |     319348 |      55022
    num misses                       |      78121 |       6305 |       4621 |       1798
    miss rate                        |     20.97% |      0.61% |      1.45% |      3.27%
    mpki                             |       0.31 |       0.02 |       0.02 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   32523298 |   55997253 |   26427159 |   71182470
    num cache misses                 |     165196 |    1859167 |      52059 |    1515546
    miss rate                        |      0.51% |      3.32% |      0.20% |      2.13%
    mpki                             |       0.66 |       4.87 |       0.19 |       3.29
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   84159510 |  183103106 |  138290479 |  186379919
    num cache misses                 |     343999 |    6194031 |    2289321 |    1442844
    miss rate                        |      0.41% |      3.38% |      1.66% |      0.77%
    mpki                             |       1.38 |      16.22 |       8.38 |       3.13
  Cache L2                           |            |            |            |           
    num cache accesses               |     575894 |    8053476 |    2358378 |    2962140
    num cache misses                 |     226131 |    1193046 |    1149916 |     197904
    miss rate                        |     39.27% |     14.81% |     48.76% |      6.68%
    mpki                             |       0.90 |       3.12 |       4.21 |       0.43
  Cache L3                           |            |            |            |           
    num cache accesses               |     293957 |    1193390 |    1166939 |     201659
    num cache misses                 |      91075 |       8596 |     151335 |      56588
    miss rate                        |     30.98% |      0.72% |     12.97% |     28.06%
    mpki                             |       0.36 |       0.02 |       0.55 |       0.12
DRAM summary                         |            |            |            |           
  num dram accesses                  |     441879 |          0 |          0 |          0
  average dram access latency (ns)   |     111.05 |        inf |        inf |        inf
  average dram queueing delay        |       1.04 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
