                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   907220626 |  3184749839 |   852809697 |   249999989
  Cycles                             |  3708944124 |  3708944446 |  3708944283 |  3708939622
  IPC                                |        0.24 |        0.86 |        0.23 |        0.07
  Time (ns)                          |  1236314708 |  1236314815 |  1236314761 |  1236313207
Branch predictor stats               |             |             |             |            
  num correct                        |   152704890 |   346906176 |   117289004 |    43244780
  num incorrect                      |    14140634 |    52806120 |    16104284 |    11689069
  misprediction rate                 |       8.48% |      13.21% |      12.07% |      21.28%
  mpki                               |       15.59 |       16.58 |       18.88 |       46.76
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   105245050 |   374585149 |   149450002 |    23761816
    num misses                       |          42 |          10 |         101 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   316907084 |  1426794152 |   397397052 |    88558906
    num misses                       |     5505399 |    14509146 |    15485887 |    21160076
    miss rate                        |       1.74% |       1.02% |       3.90% |      23.89%
    mpki                             |        6.07 |        4.56 |       18.16 |       84.64
  L2 TLB                             |             |             |             |            
    num accesses                     |     5505441 |    14509156 |    15485988 |    21160079
    num misses                       |     1484333 |     1286659 |     4643951 |    10898278
    miss rate                        |      26.96% |       8.87% |      29.99% |      51.50%
    mpki                             |        1.64 |        0.40 |        5.45 |       43.59
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   105245050 |   374585149 |   149450002 |    23761816
    num cache misses                 |      122195 |      277011 |     3265826 |      190033
    miss rate                        |       0.12% |       0.07% |       2.19% |       0.80%
    mpki                             |        0.13 |        0.09 |        3.83 |        0.76
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   316907084 |  1426794152 |   397397052 |    88558906
    num cache misses                 |    37175523 |    46289570 |    22708625 |    28758118
    miss rate                        |      11.73% |       3.24% |       5.71% |      32.47%
    mpki                             |       40.98 |       14.53 |       26.63 |      115.03
  Cache L2                           |             |             |             |            
    num cache accesses               |    41603501 |    47054332 |    30669418 |    32628953
    num cache misses                 |    32897756 |    32619256 |    22298543 |    24334453
    miss rate                        |      79.07% |      69.32% |      72.71% |      74.58%
    mpki                             |       36.26 |       10.24 |       26.15 |       97.34
  Cache L3                           |             |             |             |            
    num cache accesses               |    37205250 |    33139533 |    27001573 |    28040949
    num cache misses                 |    22994438 |     9856372 |    15902316 |    17708133
    miss rate                        |      61.80% |      29.74% |      58.89% |      63.15%
    mpki                             |       25.35 |        3.09 |       18.65 |       70.83
DRAM summary                         |             |             |             |            
  num dram accesses                  |    91846413 |           0 |           0 |           0
  average dram access latency (ns)   |      146.04 |         inf |         inf |         inf
  average dram queueing delay        |       36.03 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      74.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
