                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   927272676 |  2697216210 |   872907196 |   249999989
  Cycles                             |  3890353872 |  3890353803 |  3890353746 |  3890349974
  IPC                                |        0.24 |        0.69 |        0.22 |        0.06
  Time (ns)                          |  1296784624 |  1296784601 |  1296784582 |  1296783325
Branch predictor stats               |             |             |             |            
  num correct                        |   156349882 |   294495427 |   119991635 |    43244780
  num incorrect                      |    14457385 |    44849082 |    16488365 |    11689069
  misprediction rate                 |       8.46% |      13.22% |      12.08% |      21.28%
  mpki                               |       15.59 |       16.63 |       18.89 |       46.76
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   107489483 |   317405694 |   152936125 |    23761816
    num misses                       |          42 |          10 |         105 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   323278929 |  1205883657 |   406730061 |    88558906
    num misses                       |     5580726 |    12330143 |    15832653 |    21160443
    miss rate                        |       1.73% |       1.02% |       3.89% |      23.89%
    mpki                             |        6.02 |        4.57 |       18.14 |       84.64
  L2 TLB                             |             |             |             |            
    num accesses                     |     5580768 |    12330153 |    15832758 |    21160446
    num misses                       |     1507305 |     1088983 |     4745113 |    10898513
    miss rate                        |      27.01% |       8.83% |      29.97% |      51.50%
    mpki                             |        1.63 |        0.40 |        5.44 |       43.59
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   107489483 |   317405694 |   152936125 |    23761816
    num cache misses                 |       43239 |       46159 |     1628030 |       29265
    miss rate                        |       0.04% |       0.01% |       1.06% |       0.12%
    mpki                             |        0.05 |        0.02 |        1.87 |        0.12
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   323278929 |  1205883657 |   406730061 |    88558906
    num cache misses                 |    37856464 |    39412879 |    22591501 |    28790572
    miss rate                        |      11.71% |       3.27% |       5.55% |      32.51%
    mpki                             |       40.83 |       14.61 |       25.88 |      115.16
  Cache L2                           |             |             |             |            
    num cache accesses               |    42402562 |    40022649 |    29129690 |    32641749
    num cache misses                 |    25838644 |    13812154 |    17352437 |    19325931
    miss rate                        |      60.94% |      34.51% |      59.57% |      59.21%
    mpki                             |       27.87 |        5.12 |       19.88 |       77.30
  Cache L3                           |             |             |             |            
    num cache accesses               |    30464593 |    14652627 |    22293938 |    23246388
    num cache misses                 |    23695997 |    12987661 |    16485461 |    18793237
    miss rate                        |      77.78% |      88.64% |      73.95% |      80.84%
    mpki                             |       25.55 |        4.82 |       18.89 |       75.17
DRAM summary                         |             |             |             |            
  num dram accesses                  |    97845466 |           0 |           0 |           0
  average dram access latency (ns)   |      144.66 |         inf |         inf |         inf
  average dram queueing delay        |       34.65 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      75.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
