                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   889021935 |  3570511453 |   807640755 |   249999989
  Cycles                             |  4351943837 |  4351942800 |  4351942744 |  4351939180
  IPC                                |        0.20 |        0.82 |        0.19 |        0.06
  Time (ns)                          |  1450647946 |  1450647600 |  1450647581 |  1450646393
Branch predictor stats               |             |             |             |            
  num correct                        |   150780973 |   386617819 |   111075548 |    43244780
  num incorrect                      |    13883908 |    58854720 |    15228924 |    11689069
  misprediction rate                 |       8.43% |      13.21% |      12.06% |      21.28%
  mpki                               |       15.62 |       16.48 |       18.86 |       46.76
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   103015801 |   420200698 |   141502448 |    23761816
    num misses                       |          42 |          10 |         100 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   307557239 |  1604779086 |   376415467 |    88558906
    num misses                       |     5180067 |    16307681 |    14642821 |    21161060
    miss rate                        |       1.68% |       1.02% |       3.89% |      23.89%
    mpki                             |        5.83 |        4.57 |       18.13 |       84.64
  L2 TLB                             |             |             |             |            
    num accesses                     |     5180109 |    16307691 |    14642921 |    21161063
    num misses                       |     1420582 |     1448211 |     4399811 |    10898577
    miss rate                        |      27.42% |       8.88% |      30.05% |      51.50%
    mpki                             |        1.60 |        0.41 |        5.45 |       43.59
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   103015801 |   420200698 |   141502448 |    23761816
    num cache misses                 |       93019 |      167453 |     2693173 |      152753
    miss rate                        |       0.09% |       0.04% |       1.90% |       0.64%
    mpki                             |        0.10 |        0.05 |        3.33 |        0.61
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   307557239 |  1604779086 |   376415467 |    88558906
    num cache misses                 |    36284187 |    51460361 |    21531762 |    28912921
    miss rate                        |      11.80% |       3.21% |       5.72% |      32.65%
    mpki                             |       40.81 |       14.41 |       26.66 |      115.65
  Cache L2                           |             |             |             |            
    num cache accesses               |    42389955 |    52411168 |    29811072 |    33264128
    num cache misses                 |    30469470 |    28392203 |    20232535 |    23791533
    miss rate                        |      71.88% |      54.17% |      67.87% |      71.52%
    mpki                             |       34.27 |        7.95 |       25.05 |       95.17
  Cache L3                           |             |             |             |            
    num cache accesses               |    36485396 |    29266409 |    25833495 |    28036597
    num cache misses                 |    28416533 |    11539928 |    19136810 |    22869198
    miss rate                        |      77.88% |      39.43% |      74.08% |      81.57%
    mpki                             |       31.96 |        3.23 |       23.69 |       91.48
DRAM summary                         |             |             |             |            
  num dram accesses                  |   111051943 |           0 |           0 |           0
  average dram access latency (ns)   |      146.80 |         inf |         inf |         inf
  average dram queueing delay        |       36.79 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      76.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
