                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   917523678 |  4029521198 |   835996727 |   249999989
  Cycles                             |  3975200737 |  3975200651 |  3975200939 |  3975196423
  IPC                                |        0.23 |        1.01 |        0.21 |        0.06
  Time (ns)                          |  1325066913 |  1325066884 |  1325066980 |  1325065475
Branch predictor stats               |             |             |             |            
  num correct                        |   154633539 |   436002383 |   115075934 |    43244780
  num incorrect                      |    14301870 |    66357448 |    15768193 |    11689069
  misprediction rate                 |       8.47% |      13.21% |      12.05% |      21.28%
  mpki                               |       15.59 |       16.47 |       18.86 |       46.76
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   106420376 |   474318642 |   146507751 |    23761816
    num misses                       |          42 |          10 |         101 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   320139790 |  1811037420 |   389638282 |    88558906
    num misses                       |     5541327 |    18451963 |    15178013 |    21160726
    miss rate                        |       1.73% |       1.02% |       3.90% |      23.89%
    mpki                             |        6.04 |        4.58 |       18.16 |       84.64
  L2 TLB                             |             |             |             |            
    num accesses                     |     5541369 |    18451973 |    15178114 |    21160729
    num misses                       |     1495340 |     1630205 |     4559027 |    10898600
    miss rate                        |      26.99% |       8.83% |      30.04% |      51.50%
    mpki                             |        1.63 |        0.40 |        5.45 |       43.59
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   106420376 |   474318642 |   146507751 |    23761816
    num cache misses                 |       61823 |       90010 |     1984464 |       75169
    miss rate                        |       0.06% |       0.02% |       1.35% |       0.32%
    mpki                             |        0.07 |        0.02 |        2.37 |        0.30
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   320139790 |  1811037420 |   389638282 |    88558906
    num cache misses                 |    37548111 |    58032914 |    21897316 |    28834565
    miss rate                        |      11.73% |       3.20% |       5.62% |      32.56%
    mpki                             |       40.92 |       14.40 |       26.19 |      115.34
  Cache L2                           |             |             |             |            
    num cache accesses               |    42676682 |    58802267 |    29173754 |    32853007
    num cache misses                 |    28685822 |    23164517 |    18747405 |    21471486
    miss rate                        |      67.22% |      39.39% |      64.26% |      65.36%
    mpki                             |       31.26 |        5.75 |       22.43 |       85.89
  Cache L3                           |             |             |             |            
    num cache accesses               |    33761709 |    23981586 |    24060497 |    25484751
    num cache misses                 |    25674822 |     7268108 |    17767771 |    20571450
    miss rate                        |      76.05% |      30.31% |      73.85% |      80.72%
    mpki                             |       27.98 |        1.80 |       21.25 |       82.29
DRAM summary                         |             |             |             |            
  num dram accesses                  |    96906557 |           0 |           0 |           0
  average dram access latency (ns)   |      138.64 |         inf |         inf |         inf
  average dram queueing delay        |       28.63 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      73.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
