                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   927008475 |  4749981522 |   781580234 |   249999989
  Cycles                             |  4260822040 |  4260822033 |  4260822205 |  4260820033
  IPC                                |        0.22 |        1.11 |        0.18 |        0.06
  Time (ns)                          |  1420274013 |  1420274011 |  1420274068 |  1420273344
Branch predictor stats               |             |             |             |            
  num correct                        |   156322893 |   515221983 |   107537992 |    43244780
  num incorrect                      |    14453835 |    78577522 |    14750866 |    11689069
  misprediction rate                 |       8.46% |      13.23% |      12.06% |      21.28%
  mpki                               |       15.59 |       16.54 |       18.87 |       46.76
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   107485933 |   559673703 |   136955460 |    23761816
    num misses                       |          42 |          10 |         100 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   323165648 |  2134987507 |   364250668 |    88558906
    num misses                       |     5575924 |    21333234 |    14184529 |    21161324
    miss rate                        |       1.73% |       1.00% |       3.89% |      23.90%
    mpki                             |        6.01 |        4.49 |       18.15 |       84.65
  L2 TLB                             |             |             |             |            
    num accesses                     |     5575966 |    21333244 |    14184629 |    21161327
    num misses                       |     1506373 |     1881765 |     4262510 |    10898742
    miss rate                        |      27.02% |       8.82% |      30.05% |      51.50%
    mpki                             |        1.62 |        0.40 |        5.45 |       43.59
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   107485933 |   559673703 |   136955460 |    23761816
    num cache misses                 |      155890 |      414568 |     3860912 |      254315
    miss rate                        |       0.15% |       0.07% |       2.82% |       1.07%
    mpki                             |        0.17 |        0.09 |        4.94 |        1.02
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   323165648 |  2134987507 |   364250668 |    88558906
    num cache misses                 |    38129538 |    68478594 |    21615844 |    28988394
    miss rate                        |      11.80% |       3.21% |       5.93% |      32.73%
    mpki                             |       41.13 |       14.42 |       27.66 |      115.95
  Cache L2                           |             |             |             |            
    num cache accesses               |    44294120 |    69623405 |    31036244 |    33552340
    num cache misses                 |    34278173 |    48435353 |    22503592 |    25824600
    miss rate                        |      77.39% |      69.57% |      72.51% |      76.97%
    mpki                             |       36.98 |       10.20 |       28.79 |      103.30
  Cache L3                           |             |             |             |            
    num cache accesses               |    40288448 |    49201608 |    28072928 |    30159835
    num cache misses                 |    28482772 |     6072931 |    19368109 |    23694658
    miss rate                        |      70.70% |      12.34% |      68.99% |      78.56%
    mpki                             |       30.73 |        1.28 |       24.78 |       94.78
DRAM summary                         |             |             |             |            
  num dram accesses                  |   104765015 |           0 |           0 |           0
  average dram access latency (ns)   |      138.57 |         inf |         inf |         inf
  average dram queueing delay        |       28.56 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      73.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
