                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |   927542145 |  2774143648 |   870278587 |   249999989
  Cycles                             |  3840769290 |  3840768207 |  3840768366 |  3840763875
  IPC                                |        0.24 |        0.72 |        0.23 |        0.07
  Time (ns)                          |  1280256430 |  1280256069 |  1280256122 |  1280254625
Branch predictor stats               |             |             |             |            
  num correct                        |   156376551 |   299782932 |   119626777 |    43244780
  num incorrect                      |    14462293 |    45571759 |    16438217 |    11689069
  misprediction rate                 |       8.47% |      13.20% |      12.08% |      21.28%
  mpki                               |       15.59 |       16.43 |       18.89 |       46.76
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   107494391 |   326405618 |   152479500 |    23761816
    num misses                       |          42 |          10 |         105 |           3
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   323392967 |  1246690673 |   405510886 |    88558906
    num misses                       |     5583230 |    12821922 |    15786707 |    21160534
    miss rate                        |       1.73% |       1.03% |       3.89% |      23.89%
    mpki                             |        6.02 |        4.62 |       18.14 |       84.64
  L2 TLB                             |             |             |             |            
    num accesses                     |     5583272 |    12821932 |    15786812 |    21160537
    num misses                       |     1508833 |     1132410 |     4730575 |    10898425
    miss rate                        |      27.02% |       8.83% |      29.97% |      51.50%
    mpki                             |        1.63 |        0.41 |        5.44 |       43.59
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   107494391 |   326405618 |   152479500 |    23761816
    num cache misses                 |       56232 |       65752 |     1847772 |       55604
    miss rate                        |       0.05% |       0.02% |       1.21% |       0.23%
    mpki                             |        0.06 |        0.02 |        2.12 |        0.22
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   323392967 |  1246690673 |   405510886 |    88558906
    num cache misses                 |    37891297 |    40034787 |    22582143 |    28786236
    miss rate                        |      11.72% |       3.21% |       5.57% |      32.51%
    mpki                             |       40.85 |       14.43 |       25.95 |      115.14
  Cache L2                           |             |             |             |            
    num cache accesses               |    42365284 |    40676769 |    29274777 |    32641455
    num cache misses                 |    28299922 |    16690269 |    18616304 |    20561272
    miss rate                        |      66.80% |      41.03% |      63.59% |      62.99%
    mpki                             |       30.51 |        6.02 |       21.39 |       82.25
  Cache L3                           |             |             |             |            
    num cache accesses               |    32727950 |    17419011 |    23482166 |    24433826
    num cache misses                 |    23481343 |    12395823 |    16319529 |    18485944
    miss rate                        |      71.75% |      71.16% |      69.50% |      75.66%
    mpki                             |       25.32 |        4.47 |       18.75 |       73.94
DRAM summary                         |             |             |             |            
  num dram accesses                  |    96418859 |           0 |           0 |           0
  average dram access latency (ns)   |      145.54 |         inf |         inf |         inf
  average dram queueing delay        |       35.53 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      75.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
