                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   392724026 |  2891620949 |  1891565377 |   998795129 |  2869467199 |  1648728513 |  4573541028 |  1970072039 |   537473857 |   249999886 |   980040017 |   499271553 |  3567262355 |   671105272 |   397859992 |  4479639924
  Cycles                             |  2805420082 |  2805419401 |  2805419842 |  2805419539 |  2805419794 |  2805419400 |  2805419400 |  2805419400 |  2805419412 |  2805416059 |  2805419392 |  2805420033 |  2805419477 |  2805419727 |  2805419955 |  2805419400
  IPC                                |        0.14 |        1.03 |        0.67 |        0.36 |        1.02 |        0.59 |        1.63 |        0.70 |        0.19 |        0.09 |        0.35 |        0.18 |        1.27 |        0.24 |        0.14 |        1.60
  Time (ns)                          |   935140028 |   935139801 |   935139948 |   935139847 |   935139932 |   935139800 |   935139800 |   935139800 |   935139804 |   935138687 |   935139798 |   935140011 |   935139826 |   935139909 |   935139985 |   935139800
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    66394938 |   232590849 |   108453482 |    23039159 |   125725077 |   211969942 |   210609684 |   301287454 |    32660309 |    34399075 |   148362061 |     4535015 |   237508321 |    35747597 |    31540126 |   826719885
  num incorrect                      |     6107620 |    39049303 |    18353601 |      410998 |     7149047 |    49644115 |     1751600 |    77187662 |    19653581 |     4720676 |    32463550 |       30341 |    40802515 |      836239 |     2596388 |    56397882
  misprediction rate                 |       8.42% |      14.38% |      14.47% |       1.75% |       5.38% |      18.98% |       0.82% |      20.39% |      37.57% |      12.07% |      17.95% |       0.66% |      14.66% |       2.29% |       7.61% |       6.39%
  mpki                               |       15.55 |       13.50 |        9.70 |        0.41 |        2.49 |       30.11 |        0.38 |       39.18 |       36.57 |       18.88 |       33.12 |        0.06 |       11.44 |        1.25 |        6.53 |       12.59
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
