                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   396922026 |  1732014186 |  1266469844 |  1060496764 |  1159626913 |  2342382541 |  6066548054 |  1278456998 |   525990589 |   249999886 |   712300622 |   530288484 |  2151253557 |   707532120 |   402152565 |  1968709907
  Cycles                             |  3345375647 |  3345375009 |  3345374841 |  3345374792 |  3345375063 |  3345374816 |  3345374769 |  3345375006 |  3345375206 |  3345370464 |  3345375245 |  3345374864 |  3345374967 |  3345374764 |  3345375362 |  3345375232
  IPC                                |        0.12 |        0.52 |        0.38 |        0.32 |        0.35 |        0.70 |        1.81 |        0.38 |        0.16 |        0.07 |        0.21 |        0.16 |        0.64 |        0.21 |        0.12 |        0.59
  Time (ns)                          |  1115125216 |  1115125003 |  1115124947 |  1115124931 |  1115125021 |  1115124939 |  1115124923 |  1115125002 |  1115125069 |  1115123488 |  1115125082 |  1115124955 |  1115124989 |  1115124922 |  1115125121 |  1115125078
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    66768839 |   139251976 |    71713742 |    24259149 |    50506994 |   301724948 |   279368971 |   195156633 |    31967536 |    34399075 |   107057404 |     4813254 |   143553985 |    37626078 |    31918136 |   363326626
  num incorrect                      |     6175379 |    23391152 |    12135137 |      431402 |     2879439 |    70470869 |     2324328 |    50228337 |    19237113 |     4720676 |    23978625 |       32238 |    24555125 |      880202 |     2626701 |    24785938
  misprediction rate                 |       8.47% |      14.38% |      14.47% |       1.75% |       5.39% |      18.93% |       0.83% |      20.47% |      37.57% |      12.07% |      18.30% |       0.67% |      14.61% |       2.29% |       7.60% |       6.39%
  mpki                               |       15.56 |       13.51 |        9.58 |        0.41 |        2.48 |       30.09 |        0.38 |       39.29 |       36.57 |       18.88 |       33.66 |        0.06 |       11.41 |        1.24 |        6.53 |       12.59
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    45923751 |   253714910 |   141826226 |    95060830 |   111005678 |   328407130 |   464120361 |   166387314 |    62764256 |    43801034 |    99169881 |    46867654 |   260914553 |    70584034 |    33594964 |   322820525
    num misses                       |          42 |          65 |          56 |           4 |           8 |         201 |          43 |          19 |          10 |          84 |         204 |           3 |          18 |          47 |          42 |          39
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   138697136 |   830354932 |   596292827 |   415213700 |   355242325 |   914929977 |  3490886408 |   430200092 |   241900884 |   116504258 |   277330851 |   144430653 |   906588859 |   247744695 |   110791723 |   641601963
    num misses                       |     2409398 |     4632607 |      381778 |      215500 |      108535 |     1629881 |      470570 |     1911574 |     1662168 |     4539028 |     1474272 |      258130 |     6389517 |      367064 |      551424 |          23
    miss rate                        |       1.74% |       0.56% |       0.06% |       0.05% |       0.03% |       0.18% |       0.01% |       0.44% |       0.69% |       3.90% |       0.53% |       0.18% |       0.70% |       0.15% |       0.50% |       0.00%
    mpki                             |        6.07 |        2.67 |        0.30 |        0.20 |        0.09 |        0.70 |        0.08 |        1.50 |        3.16 |       18.16 |        2.07 |        0.49 |        2.97 |        0.52 |        1.37 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     2409440 |     4632672 |      381834 |      215504 |      108543 |     1630082 |      470613 |     1911593 |     1662178 |     4539112 |     1474476 |      258133 |     6389535 |      367111 |      551466 |          62
    num misses                       |      669591 |       29533 |       60714 |      114626 |        2888 |      260671 |      135378 |      399604 |     1320752 |     1361638 |      121842 |      257939 |       48633 |      117047 |      172635 |          62
    miss rate                        |      27.79% |       0.64% |      15.90% |      53.19% |       2.66% |      15.99% |      28.77% |      20.90% |      79.46% |      30.00% |       8.26% |      99.92% |       0.76% |      31.88% |      31.30% |     100.00%
    mpki                             |        1.69 |        0.02 |        0.05 |        0.11 |        0.00 |        0.11 |        0.02 |        0.31 |        2.51 |        5.45 |        0.17 |        0.49 |        0.02 |        0.17 |        0.43 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    45923751 |   253714910 |   141826226 |    95060830 |   111005678 |   328407130 |   464120361 |   166387314 |    62764256 |    43801034 |    99169881 |    46867654 |   260914553 |    70584034 |    33594964 |   322820525
    num cache misses                 |       53358 |     8989080 |      972260 |      154983 |      137816 |    10315994 |      420444 |     1818048 |       39883 |     1038345 |     6598932 |      377715 |     3253764 |       80303 |      135361 |     4765572
    miss rate                        |       0.12% |       3.54% |       0.69% |       0.16% |       0.12% |       3.14% |       0.09% |       1.09% |       0.06% |       2.37% |       6.65% |       0.81% |       1.25% |       0.11% |       0.40% |       1.48%
    mpki                             |        0.13 |        5.19 |        0.77 |        0.15 |        0.12 |        4.40 |        0.07 |        1.42 |        0.08 |        4.15 |        9.26 |        0.71 |        1.51 |        0.11 |        0.34 |        2.42
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   138697136 |   830354932 |   596292827 |   415213700 |   355242325 |   914929977 |  3490886408 |   430200092 |   241900884 |   116504258 |   277330851 |   144430653 |   906588859 |   247744695 |   110791723 |   641601963
    num cache misses                 |    16360525 |    28575252 |     4493562 |    10635571 |    11218095 |    11499117 |    32861723 |     2930475 |     4031658 |     6826260 |     5737030 |    27270322 |     5999958 |     8768402 |     6284830 |      761030
    miss rate                        |      11.80% |       3.44% |       0.75% |       2.56% |       3.16% |       1.26% |       0.94% |       0.68% |       1.67% |       5.86% |       2.07% |      18.88% |       0.66% |       3.54% |       5.67% |       0.12%
    mpki                             |       41.22 |       16.50 |        3.55 |       10.03 |        9.67 |        4.91 |        5.42 |        2.29 |        7.66 |       27.31 |        8.05 |       51.43 |        2.79 |       12.39 |       15.63 |        0.39
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    17517546 |    37667294 |     5536653 |    10848160 |    11826449 |    22330734 |    33288946 |     5240613 |     4808619 |     9580887 |    12783028 |    27648166 |     9529274 |    10204060 |     6506131 |     5671813
    num cache misses                 |    14566610 |     8457118 |     4928440 |     7769123 |     3682807 |    10161547 |    23036442 |     3408109 |     3897544 |     6843622 |     6834326 |    18402967 |     3767404 |     7410348 |     6175682 |     2545324
    miss rate                        |      83.15% |      22.45% |      89.01% |      71.62% |      31.14% |      45.50% |      69.20% |      65.03% |      81.05% |      71.43% |      53.46% |      66.56% |      39.54% |      72.62% |      94.92% |      44.88%
    mpki                             |       36.70 |        4.88 |        3.89 |        7.33 |        3.18 |        4.34 |        3.80 |        2.67 |        7.41 |       27.37 |        9.59 |       34.70 |        1.75 |       10.47 |       15.36 |        1.29
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    15670641 |     8575992 |     5001028 |     7847589 |     4182040 |    10679833 |    23043274 |     3909569 |     4643030 |     8563132 |     7283208 |    18403096 |     4052889 |     8798456 |     6262063 |     2690716
    num cache misses                 |     6906955 |     2368901 |     4481816 |     7483582 |     3416245 |     1733501 |     1172152 |     2602865 |     3676206 |     5666657 |     2958415 |    16953120 |     2704886 |     6817851 |     5636719 |     2344845
    miss rate                        |      44.08% |      27.62% |      89.62% |      95.36% |      81.69% |      16.23% |       5.09% |      66.58% |      79.18% |      66.18% |      40.62% |      92.12% |      66.74% |      77.49% |      90.01% |      87.15%
    mpki                             |       17.40 |        1.37 |        3.54 |        7.06 |        2.95 |        0.74 |        0.19 |        2.04 |        6.99 |       22.67 |        4.15 |       31.97 |        1.26 |        9.64 |       14.02 |        1.19
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |   107098602 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      396.37 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      286.36 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      96.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
