                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  4988925546 |  5567475104 |   266111556 |   408219186 |   269673455 |   566315220 |   675031204 |   249999886 |  3558850509 |   669158137 |  2151589006 |   520595684 |  3786484201 |  1379950222 |  2181716717 |  4130805719
  Cycles                             |  3775309194 |  3775309194 |  3775309972 |  3775309409 |  3775309257 |  3775309677 |  3775309845 |  3775305763 |  3775309194 |  3775309830 |  3775309201 |  3775309194 |  3775309194 |  3775309194 |  3775309402 |  3775309606
  IPC                                |        1.32 |        1.47 |        0.07 |        0.11 |        0.07 |        0.15 |        0.18 |        0.07 |        0.94 |        0.18 |        0.57 |        0.14 |        1.00 |        0.37 |        0.58 |        1.09
  Time (ns)                          |  1258436398 |  1258436398 |  1258436658 |  1258436470 |  1258436419 |  1258436559 |  1258436615 |  1258435255 |  1258436398 |  1258436610 |  1258436401 |  1258436398 |  1258436398 |  1258436398 |  1258436468 |  1258436536
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   395543948 |  1027481073 |    45403273 |     7484138 |    44069661 |    34407346 |    41279195 |    34399075 |   156680140 |    19805056 |   233389426 |     4726524 |   304482511 |     1792234 |   124514790 |   549384708
  num incorrect                      |    32344020 |    70094002 |     4071666 |    10480034 |     2610788 |    20705181 |     1523887 |     4720676 |     8902441 |     9588316 |    35641475 |       31662 |    51159967 |       30374 |    21110704 |    55551560
  misprediction rate                 |       7.56% |       6.39% |       8.23% |      58.34% |       5.59% |      37.57% |       3.56% |      12.07% |       5.38% |      32.62% |      13.25% |       0.67% |      14.39% |       1.67% |      14.50% |       9.18%
  mpki                               |        6.48 |       12.59 |       15.30 |       25.67 |        9.68 |       36.56 |        2.26 |       18.88 |        2.50 |       14.33 |       16.57 |        0.06 |       13.51 |        0.02 |        9.68 |       13.45
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   417652731 |   912927629 |    30958598 |    44202429 |    45426687 |    67565130 |    64293740 |    43801034 |   339298572 |    51960550 |   253242347 |    46011058 |   554674313 |   158083506 |   245121945 |   619985068
    num misses                       |          42 |          39 |          42 |          14 |           4 |          10 |          22 |          84 |           8 |           3 |          10 |           3 |          65 |           6 |          56 |        2724
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |  1373093208 |  1814435526 |    92011402 |   147804289 |    81025631 |   260631167 |   226737316 |   116504258 |  1083752797 |   305365072 |   965769416 |   141807851 |  1815425804 |  1032216659 |  1024713454 |  1613674846
    num misses                       |     6711369 |          23 |     1538843 |     1030140 |       95423 |     1780922 |     1838390 |     4540210 |      342210 |      309550 |     9844615 |      253519 |    10126591 |    37208316 |      657575 |      504508
    miss rate                        |       0.49% |       0.00% |       1.67% |       0.70% |       0.12% |       0.68% |       0.81% |       3.90% |       0.03% |       0.10% |       1.02% |       0.18% |       0.56% |       3.60% |       0.06% |       0.03%
    mpki                             |        1.35 |        0.00 |        5.78 |        2.52 |        0.35 |        3.14 |        2.72 |       18.16 |        0.10 |        0.46 |        4.58 |        0.49 |        2.67 |       26.96 |        0.30 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     6711411 |          62 |     1538885 |     1030154 |       95427 |     1780932 |     1838412 |     4540294 |      342218 |      309553 |     9844625 |      253522 |    10126656 |    37208322 |      657631 |      507232
    num misses                       |     2086667 |          62 |      421263 |     1030143 |       95427 |     1415608 |      166578 |     1361642 |        8677 |      204048 |      879361 |      253331 |       64580 |    26563943 |      103858 |       14865
    miss rate                        |      31.09% |     100.00% |      27.37% |     100.00% |     100.00% |      79.49% |       9.06% |      29.99% |       2.54% |      65.92% |       8.93% |      99.92% |       0.64% |      71.39% |      15.79% |       2.93%
    mpki                             |        0.42 |        0.00 |        1.58 |        2.52 |        0.35 |        2.50 |        0.25 |        5.45 |        0.00 |        0.30 |        0.41 |        0.49 |        0.02 |       19.25 |        0.05 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   417652731 |   912927629 |    30958598 |    44202429 |    45426687 |    67565130 |    64293740 |    43801034 |   339298572 |    51960550 |   253242347 |    46011058 |   554674313 |   158083506 |   245121945 |   619985068
    num cache misses                 |      792305 |     8977801 |       37407 |       36452 |        8373 |       41430 |      454417 |     1010786 |      102510 |       81796 |      191783 |      363433 |    18526850 |      719590 |      745023 |    12885521
    miss rate                        |       0.19% |       0.98% |       0.12% |       0.08% |       0.02% |       0.06% |       0.71% |       2.31% |       0.03% |       0.16% |       0.08% |       0.79% |       3.34% |       0.46% |       0.30% |       2.08%
    mpki                             |        0.16 |        1.61 |        0.14 |        0.09 |        0.03 |        0.07 |        0.67 |        4.04 |        0.03 |        0.12 |        0.09 |        0.70 |        4.89 |        0.52 |        0.34 |        3.12
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |  1373093208 |  1814435526 |    92011402 |   147804289 |    81025631 |   260631167 |   226737316 |   116504258 |  1083752797 |   305365072 |   965769416 |   141807851 |  1815425804 |  1032216659 |  1024713454 |  1613674846
    num cache misses                 |    73449609 |      195496 |    10967657 |    11242872 |     6108959 |     4111920 |    13060037 |     6707803 |    29046443 |    14925923 |    31145881 |    26781503 |    61298713 |    11352086 |     6330537 |    21838269
    miss rate                        |       5.35% |       0.01% |      11.92% |       7.61% |       7.54% |       1.58% |       5.76% |       5.76% |       2.68% |       4.89% |       3.22% |      18.89% |       3.38% |       1.10% |       0.62% |       1.35%
    mpki                             |       14.72 |        0.04 |       41.21 |       27.54 |       22.65 |        7.26 |       19.35 |       26.83 |        8.16 |       22.31 |       14.48 |       51.44 |       16.19 |        8.23 |        2.90 |        5.29
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    74287122 |     9206622 |    12510353 |    12689339 |     8174065 |     4921289 |    14461617 |     9253894 |    29348936 |    15805288 |    31627719 |    27145621 |    79876694 |    12082772 |     7099710 |    34946554
    num cache misses                 |    68858866 |      677055 |     9749407 |    11279324 |     6117332 |     3899539 |     6375300 |     6650100 |     1616596 |    13230902 |    21865048 |    17657348 |    13043792 |     8476878 |     5104896 |     2304732
    miss rate                        |      92.69% |       7.35% |      77.93% |      88.89% |      74.84% |      79.24% |      44.08% |      71.86% |       5.51% |      83.71% |      69.13% |      65.05% |      16.33% |      70.16% |      71.90% |       6.60%
    mpki                             |       13.80 |        0.12 |       36.64 |       27.63 |       22.68 |        6.89 |        9.44 |       26.60 |        0.45 |       19.77 |       10.16 |       33.92 |        3.44 |        6.14 |        2.34 |        0.56
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    68904191 |      710380 |    11255197 |    12689339 |     8174065 |     4715354 |     7337086 |     8188112 |     1824759 |    14028471 |    22167869 |    17658033 |    13104544 |     8488184 |     5131496 |     2529415
    num cache misses                 |     1745663 |      666111 |     7459380 |    11243331 |     6106517 |     3261775 |     3778977 |     5144312 |     1342590 |    13064599 |     3713761 |    16191801 |      987792 |     7452653 |     3676839 |     1724954
    miss rate                        |       2.53% |      93.77% |      66.27% |      88.60% |      74.71% |      69.17% |      51.51% |      62.83% |      73.58% |      93.13% |      16.75% |      91.70% |       7.54% |      87.80% |      71.65% |      68.20%
    mpki                             |        0.35 |        0.12 |       28.03 |       27.54 |       22.64 |        5.76 |        5.60 |       20.58 |        0.38 |       19.52 |        1.73 |       31.10 |        0.26 |        5.40 |        1.69 |        0.42
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |   122457336 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      477.36 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      367.35 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      97.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
