                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   418033779 |  6274987542 |   268259655 |   384395427 |   253098175 |   986681978 |   659370803 |   249999886 |  4147811952 |   620035299 |  1374311688 |   599723239 |  4156922176 |  1352291205 |  2303994378 |  4437392592
  Cycles                             |  3606039946 |  3606040830 |  3606039713 |  3606039169 |  3606039813 |  3606040264 |  3606039194 |  3606038019 |  3606040788 |  3606039016 |  3606039510 |  3606040766 |  3606039015 |  3606039015 |  3606039659 |  3606039016
  IPC                                |        0.12 |        1.74 |        0.07 |        0.11 |        0.07 |        0.27 |        0.18 |        0.07 |        1.15 |        0.17 |        0.38 |        0.17 |        1.15 |        0.38 |        0.64 |        1.23
  Time (ns)                          |  1202013316 |  1202013610 |  1202013238 |  1202013057 |  1202013271 |  1202013422 |  1202013065 |  1202012673 |  1202013596 |  1202013006 |  1202013170 |  1202013589 |  1202013005 |  1202013005 |  1202013220 |  1202013006
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    33192976 |  1158052964 |    45871787 |     7217652 |    41159375 |    59978027 |    40345940 |    34399075 |   182474138 |    18920295 |   148817960 |     5434409 |   334346692 |     1760106 |   130985757 |   589180097
  num incorrect                      |     2732473 |    79001482 |     4101629 |    10053658 |     2525610 |    36093522 |     1514842 |     4720676 |    10362437 |     9083715 |    22654598 |       36380 |    56144190 |       29828 |    22120106 |    59867336
  misprediction rate                 |       7.61% |       6.39% |       8.21% |      58.21% |       5.78% |      37.57% |       3.62% |      12.07% |       5.37% |      32.44% |      13.21% |       0.66% |      14.38% |       1.67% |      14.45% |       9.22%
  mpki                               |        6.54 |       12.59 |       15.29 |       26.15 |        9.98 |       36.58 |        2.30 |       18.88 |        2.50 |       14.65 |       16.48 |        0.06 |       13.51 |        0.02 |        9.60 |       13.49
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    34714430 |  1028941422 |    31240026 |    42123844 |    42431216 |   117756430 |    62802808 |    43801034 |   395600218 |    48144347 |   161486697 |    53003823 |   608993798 |   154903989 |   258402328 |   666371218
    num misses                       |          42 |          39 |          42 |          14 |           4 |          10 |          22 |          84 |           8 |           3 |          10 |           3 |          65 |           6 |          56 |        2902
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   115158324 |  2045012454 |    92785394 |   140928974 |    76482319 |   453603245 |   221098413 |   116504258 |  1263647987 |   279826541 |   617112154 |   163217222 |  1993071357 |  1011565046 |  1083598204 |  1734843030
    num misses                       |      574646 |          23 |     1546561 |     1001617 |       89570 |     3117060 |     1767606 |     4541398 |      399732 |      284719 |     6353019 |      291160 |    11126296 |    36521575 |      703215 |      534966
    miss rate                        |       0.50% |       0.00% |       1.67% |       0.71% |       0.12% |       0.69% |       0.80% |       3.90% |       0.03% |       0.10% |       1.03% |       0.18% |       0.56% |       3.61% |       0.06% |       0.03%
