                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |   371487014 |  1515657805 |   269477205 |   374674071 |   249999973 |  1266336207 |   627126247 |   253501866 |  4224426572 |   604873489 |  1465306962 |   473403649 |  3927175257 |  1292526147 |  2273205135 |  4580675647
  Cycles                             |  3578646563 |  3578644800 |  3578647418 |  3578645417 |  3578641649 |  3578644903 |  3578645482 |  3578645854 |  3578645910 |  3578645705 |  3578645481 |  3578644832 |  3578644811 |  3578644800 |  3578646135 |  3578644800
  IPC                                |        0.10 |        0.42 |        0.08 |        0.10 |        0.07 |        0.35 |        0.18 |        0.07 |        1.18 |        0.17 |        0.41 |        0.13 |        1.10 |        0.36 |        0.64 |        1.28
  Time (ns)                          |  1192882188 |  1192881600 |  1192882473 |  1192881806 |  1192880550 |  1192881634 |  1192881827 |  1192881951 |  1192881970 |  1192881902 |  1192881827 |  1192881611 |  1192881604 |  1192881600 |  1192882045 |  1192881600
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    29453826 |   279716132 |    46195667 |     7108912 |    40600608 |    76981280 |    38462466 |    34871681 |   186556451 |    18681656 |   159771755 |     4269687 |   315869559 |     1679213 |   129332714 |   610191003
  num incorrect                      |     2409608 |    19082374 |     4113466 |     9879674 |     2521753 |    46324345 |     1345282 |     4786586 |    10577454 |     8940159 |    24405649 |       28538 |    53042979 |       28458 |    21847493 |    61574397
  misprediction rate                 |       7.56% |       6.39% |       8.18% |      58.15% |       5.85% |      37.57% |       3.38% |      12.07% |       5.37% |      32.37% |      13.25% |       0.66% |      14.38% |       1.67% |      14.45% |       9.17%
  mpki                               |        6.49 |       12.59 |       15.26 |       26.37 |       10.09 |       36.58 |        2.15 |       18.88 |        2.50 |       14.78 |       16.66 |        0.06 |       13.51 |        0.02 |        9.61 |       13.44
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    31407985 |   248531217 |    31448750 |    41275672 |    41868591 |   151150007 |    59736038 |    44412619 |   402374636 |    47010061 |   172010980 |    41838357 |   575343217 |   148066918 |   255050440 |   686498256
    num misses                       |          42 |          39 |          42 |          14 |           4 |          10 |          22 |          84 |           8 |           3 |          10 |           3 |          65 |           6 |          56 |        3030
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   102277694 |   493954571 |    93173245 |   138123482 |    75636447 |   582197473 |   208753788 |   118117062 |  1284237737 |   271718194 |   652368070 |   128562771 |  1882907781 |   966827691 |  1068746270 |  1787217742
    num misses                       |      500193 |          23 |     1547907 |      989979 |       88470 |     4006346 |     1721319 |     4606415 |      412145 |      276879 |     6736856 |      228145 |    10512923 |    34823971 |      691535 |      564190
    miss rate                        |       0.49% |       0.00% |       1.66% |       0.72% |       0.12% |       0.69% |       0.82% |       3.90% |       0.03% |       0.10% |       1.03% |       0.18% |       0.56% |       3.60% |       0.06% |       0.03%
    mpki                             |        1.35 |        0.00 |        5.74 |        2.64 |        0.35 |        3.16 |        2.74 |       18.17 |        0.10 |        0.46 |        4.60 |        0.48 |        2.68 |       26.94 |        0.30 |        0.12
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      500235 |          62 |     1547949 |      989993 |       88474 |     4006356 |     1721341 |     4606499 |      412153 |      276882 |     6736866 |      228148 |    10512988 |    34823977 |      691591 |      567220
    num misses                       |      157709 |          62 |      425825 |      989982 |       88474 |     3184876 |      155545 |     1379843 |       10321 |      184816 |      594181 |      227971 |       66489 |    24826376 |      109145 |       16472
    miss rate                        |      31.53% |     100.00% |      27.51% |     100.00% |     100.00% |      79.50% |       9.04% |      29.95% |       2.50% |      66.75% |       8.82% |      99.92% |       0.63% |      71.29% |      15.78% |       2.90%
    mpki                             |        0.42 |        0.00 |        1.58 |        2.64 |        0.35 |        2.52 |        0.25 |        5.44 |        0.00 |        0.31 |        0.41 |        0.48 |        0.02 |       19.21 |        0.05 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    31407985 |   248531217 |    31448750 |    41275672 |    41868591 |   151150007 |    59736038 |    44412619 |   402374636 |    47010061 |   172010980 |    41838357 |   575343217 |   148066918 |   255050440 |   686498256
    num cache misses                 |       42149 |     3915737 |       22623 |       17097 |        3610 |       54293 |      179513 |      676685 |       33963 |       33775 |       64609 |      134270 |    17044123 |      276407 |      520218 |    14054298
    miss rate                        |       0.13% |       1.58% |       0.07% |       0.04% |       0.01% |       0.04% |       0.30% |       1.52% |       0.01% |       0.07% |       0.04% |       0.32% |       2.96% |       0.19% |       0.20% |       2.05%
    mpki                             |        0.11 |        2.58 |        0.08 |        0.05 |        0.01 |        0.04 |        0.29 |        2.67 |        0.01 |        0.06 |        0.04 |        0.28 |        4.34 |        0.21 |        0.23 |        3.07
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   102277694 |   493954571 |    93173245 |   138123482 |    75636447 |   582197473 |   208753788 |   118117062 |  1284237737 |   271718194 |   652368070 |   128562771 |  1882907781 |   966827691 |  1068746270 |  1787217742
    num cache misses                 |     5462142 |      567243 |    11066069 |    10621579 |     5661812 |     8975288 |    12114671 |     6626308 |    34029538 |    13436875 |    21530742 |    24080965 |    62010656 |    10576763 |     6446442 |    24416308
    miss rate                        |       5.34% |       0.11% |      11.88% |       7.69% |       7.49% |       1.54% |       5.80% |       5.61% |       2.65% |       4.95% |       3.30% |      18.73% |       3.29% |       1.09% |       0.60% |       1.37%
    mpki                             |       14.70 |        0.37 |       41.06 |       28.35 |       22.65 |        7.09 |       19.32 |       26.14 |        8.06 |       22.21 |       14.69 |       50.87 |       15.79 |        8.18 |        2.84 |        5.33
