                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999888 |  401780914 |  638535766 |  632014762
  Cycles                             |  683056153 |  683059375 |  683059060 |  683059226
  IPC                                |       0.37 |       0.59 |       0.93 |       0.93
  Time (ns)                          |  227685385 |  227686459 |  227686354 |  227686409
Branch predictor stats               |            |            |            |           
  num correct                        |   19818647 |   10904461 |   81928949 |   68396600
  num incorrect                      |    1620730 |    5410695 |   19317619 |   10394252
  misprediction rate                 |      7.56% |     33.16% |     19.08% |     13.19%
  mpki                               |       6.48 |      13.47 |      30.25 |      16.45
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20925725 |   30937172 |   89528606 |   74050020
    num misses                       |         42 |          3 |        124 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   68803936 |  188987062 |  250469615 |  283344060
    num misses                       |     336439 |     186670 |     422684 |    3021054
    miss rate                        |      0.49% |      0.10% |      0.17% |      1.07%
    mpki                             |       1.35 |       0.46 |       0.66 |       4.78
  L2 TLB                             |            |            |            |           
    num accesses                     |     336481 |     186673 |     422808 |    3021064
    num misses                       |     104711 |     122189 |      69453 |     277979
    miss rate                        |     31.12% |     65.46% |     16.43% |      9.20%
    mpki                             |       0.42 |       0.30 |       0.11 |       0.44
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20925725 |   30937172 |   89528606 |   74050020
    num cache misses                 |      39876 |      48800 |    2791764 |      56524
    miss rate                        |      0.19% |      0.16% |      3.12% |      0.08%
    mpki                             |       0.16 |       0.12 |       4.37 |       0.09
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   68803936 |  188987062 |  250469615 |  283344060
    num cache misses                 |    3684963 |    8990077 |    2993089 |    9140197
    miss rate                        |      5.36% |      4.76% |      1.19% |      3.23%
    mpki                             |      14.74 |      22.38 |       4.69 |      14.46
  Cache L2                           |            |            |            |           
    num cache accesses               |    3757786 |    9436333 |    5965271 |    9297616
    num cache misses                 |    3453361 |    7920355 |    2581529 |    6294707
    miss rate                        |     91.90% |     83.93% |     43.28% |     67.70%
    mpki                             |      13.81 |      19.71 |       4.04 |       9.96
  Cache L3                           |            |            |            |           
    num cache accesses               |    3486386 |    8317811 |    2763158 |    6402749
    num cache misses                 |    3001815 |    7817966 |     582215 |    1849064
    miss rate                        |     86.10% |     93.99% |     21.07% |     28.88%
    mpki                             |      12.01 |      19.46 |       0.91 |       2.93
DRAM summary                         |            |            |            |           
  num dram accesses                  |   15532474 |          0 |          0 |          0
  average dram access latency (ns)   |     131.63 |        inf |        inf |        inf
  average dram queueing delay        |      21.62 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     68.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
