                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  254207382 |  378193587 |  249999883 |  376969577
  Cycles                             |  818066665 |  818066100 |  818064115 |  818066886
  IPC                                |       0.31 |       0.46 |       0.31 |       0.46
  Time (ns)                          |  272688889 |  272688700 |  272688039 |  272688962
Branch predictor stats               |            |            |            |           
  num correct                        |   20134302 |   10533206 |   32217105 |   40720399
  num incorrect                      |    1646580 |    5187364 |    7507996 |    6142032
  misprediction rate                 |      7.56% |     33.00% |     18.90% |     13.11%
  mpki                               |       6.48 |      13.72 |      30.03 |      16.29
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   21372772 |   29172553 |   35058549 |   43967626
    num misses                       |         42 |          3 |        106 |         10
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   70091255 |  176372845 |   97606891 |  168777409
    num misses                       |     339270 |     175668 |     176250 |    1871012
    miss rate                        |      0.48% |      0.10% |      0.18% |      1.11%
    mpki                             |       1.33 |       0.46 |       0.71 |       4.96
  L2 TLB                             |            |            |            |           
    num accesses                     |     339312 |     175671 |     176356 |    1871022
    num misses                       |     105511 |     115123 |      28111 |     176547
    miss rate                        |     31.10% |     65.53% |     15.94% |      9.44%
    mpki                             |       0.42 |       0.30 |       0.11 |       0.47
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   21372772 |   29172553 |   35058549 |   43967626
    num cache misses                 |      65689 |      36642 |    1619085 |      61826
    miss rate                        |      0.31% |      0.13% |      4.62% |      0.14%
    mpki                             |       0.26 |       0.10 |       6.48 |       0.16
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   70091255 |  176372845 |   97606891 |  168777409
    num cache misses                 |    4196836 |    9813441 |    1643737 |    5680420
    miss rate                        |      5.99% |      5.56% |      1.68% |      3.37%
    mpki                             |      16.51 |      25.95 |       6.57 |      15.07
  Cache L2                           |            |            |            |           
    num cache accesses               |    4318003 |   10254336 |    3518111 |    5958099
    num cache misses                 |    3896951 |    8802781 |    2240616 |    3887958
    miss rate                        |     90.25% |     85.84% |     63.69% |     65.26%
    mpki                             |      15.33 |      23.28 |       8.96 |      10.31
  Cache L3                           |            |            |            |           
    num cache accesses               |    3952617 |    9207031 |    2499250 |    4110300
    num cache misses                 |    3884585 |    8762504 |    2227271 |    3761585
    miss rate                        |     98.28% |     95.17% |     89.12% |     91.52%
    mpki                             |      15.28 |      23.17 |       8.91 |       9.98
DRAM summary                         |            |            |            |           
  num dram accesses                  |   21459195 |          0 |          0 |          0
  average dram access latency (ns)   |     146.03 |        inf |        inf |        inf
  average dram queueing delay        |      36.02 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     78.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
