                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999895 |  293559274 |  459831608 |  410770681
  Cycles                             |  328714175 |  328715930 |  328715645 |  328715711
  IPC                                |       0.76 |       0.89 |       1.40 |       1.25
  Time (ns)                          |  109571392 |  109571977 |  109571882 |  109571904
Branch predictor stats               |            |            |            |           
  num correct                        |   19818647 |    6559118 |   20091974 |   36185271
  num incorrect                      |    1620730 |     116091 |    1137679 |    6083191
  misprediction rate                 |      7.56% |      1.74% |      5.36% |     14.39%
  mpki                               |       6.48 |       0.40 |       2.47 |      14.81
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20925725 |   26294527 |   44022570 |   46387405
    num misses                       |         42 |          4 |          8 |        226
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   68803935 |  114058468 |  140629999 |  172359375
    num misses                       |     336316 |      55789 |      43406 |      94287
    miss rate                        |      0.49% |      0.05% |      0.03% |      0.05%
    mpki                             |       1.35 |       0.19 |       0.09 |       0.23
  L2 TLB                             |            |            |            |           
    num accesses                     |     336358 |      55793 |      43414 |      94513
    num misses                       |     104715 |      30618 |       1292 |       3020
    miss rate                        |     31.13% |     54.88% |      2.98% |      3.20%
    mpki                             |       0.42 |       0.10 |       0.00 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20925725 |   26294527 |   44022570 |   46387405
    num cache misses                 |      20944 |      10420 |       9827 |     598143
    miss rate                        |      0.10% |      0.04% |      0.02% |      1.29%
    mpki                             |       0.08 |       0.04 |       0.02 |       1.46
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   68803935 |  114058468 |  140629999 |  172359375
    num cache misses                 |    3666947 |    2754588 |    3796940 |    1399907
    miss rate                        |      5.33% |      2.42% |      2.70% |      0.81%
    mpki                             |      14.67 |       9.38 |       8.26 |       3.41
  Cache L2                           |            |            |            |           
    num cache accesses               |    3704426 |    2771604 |    3838673 |    2019723
    num cache misses                 |    3115128 |    1954465 |     218090 |     329035
    miss rate                        |     84.09% |     70.52% |      5.68% |     16.29%
    mpki                             |      12.46 |       6.66 |       0.47 |       0.80
  Cache L3                           |            |            |            |           
    num cache accesses               |    3132504 |    1963621 |     251497 |     353785
    num cache misses                 |    1074769 |    1947365 |     217937 |     305124
    miss rate                        |     34.31% |     99.17% |     86.66% |     86.25%
    mpki                             |       4.30 |       6.63 |       0.47 |       0.74
DRAM summary                         |            |            |            |           
  num dram accesses                  |    4314869 |          0 |          0 |          0
  average dram access latency (ns)   |     114.30 |        inf |        inf |        inf
  average dram queueing delay        |       4.30 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     39.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
