                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  369521843 |  249999879 |  383395831 |  398821310
  Cycles                             |  357813215 |  357811617 |  357813216 |  357813511
  IPC                                |       1.03 |       0.70 |       1.07 |       1.11
  Time (ns)                          |  119271072 |  119270539 |  119271072 |  119271170
Branch predictor stats               |            |            |            |           
  num correct                        |   29276719 |    5768210 |   16038652 |   35442312
  num incorrect                      |    2397031 |     102901 |     921691 |    6011125
  misprediction rate                 |      7.57% |      1.75% |      5.43% |     14.50%
  mpki                               |       6.49 |       0.41 |       2.40 |      15.07
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   31202890 |   22339856 |   37258769 |   45288560
    num misses                       |         42 |          4 |          8 |        226
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  101738654 |   98207449 |  120014742 |  167247585
    num misses                       |     496788 |      52267 |      31574 |      91753
    miss rate                        |      0.49% |      0.05% |      0.03% |      0.05%
    mpki                             |       1.34 |       0.21 |       0.08 |       0.23
  L2 TLB                             |            |            |            |           
    num accesses                     |     496830 |      52271 |      31582 |      91979
    num misses                       |     156959 |      27305 |       1039 |       2929
    miss rate                        |     31.59% |     52.24% |      3.29% |      3.18%
    mpki                             |       0.42 |       0.11 |       0.00 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   31202890 |   22339856 |   37258769 |   45288560
    num cache misses                 |      59110 |     107417 |      76293 |     739094
    miss rate                        |      0.19% |      0.48% |      0.20% |      1.63%
    mpki                             |       0.16 |       0.43 |       0.20 |       1.85
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  101738654 |   98207449 |  120014742 |  167247585
    num cache misses                 |    5442716 |    2804447 |    3483612 |    1388532
    miss rate                        |      5.35% |      2.86% |      2.90% |      0.83%
    mpki                             |      14.73 |      11.22 |       9.09 |       3.48
  Cache L2                           |            |            |            |           
    num cache accesses               |    5518077 |    2973445 |    3628067 |    2155979
    num cache misses                 |    5098781 |    2396684 |     616699 |     988176
    miss rate                        |     92.40% |     80.60% |     17.00% |     45.83%
    mpki                             |      13.80 |       9.59 |       1.61 |       2.48
  Cache L3                           |            |            |            |           
    num cache accesses               |    5115101 |    2476683 |     688467 |    1017483
    num cache misses                 |     904542 |    2338232 |     543236 |     414673
    miss rate                        |     17.68% |     94.41% |     78.91% |     40.75%
    mpki                             |       2.45 |       9.35 |       1.42 |       1.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |    5033272 |          0 |          0 |          0
  average dram access latency (ns)   |     114.42 |        inf |        inf |        inf
  average dram queueing delay        |       4.41 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     42.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
