                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999888 |  526966442 |  897046805 |  835419798
  Cycles                             |  581504848 |  581507717 |  581506515 |  581506681
  IPC                                |       0.43 |       0.91 |       1.54 |       1.44
  Time (ns)                          |  193834949 |  193835906 |  193835505 |  193835560
Branch predictor stats               |            |            |            |           
  num correct                        |   19818647 |   12026045 |   38891164 |   74665147
  num incorrect                      |    1620730 |     213975 |    2212551 |   12543629
  misprediction rate                 |      7.56% |      1.75% |      5.38% |     14.38%
  mpki                               |       6.48 |       0.41 |       2.47 |      15.01
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   20925725 |   47127952 |   86065721 |   94988429
    num misses                       |         42 |          4 |          8 |        366
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   68803935 |  206227880 |  275514123 |  349355381
    num misses                       |     336397 |     107044 |      82698 |     180983
    miss rate                        |      0.49% |      0.05% |      0.03% |      0.05%
    mpki                             |       1.35 |       0.20 |       0.09 |       0.22
  L2 TLB                             |            |            |            |           
    num accesses                     |     336439 |     107048 |      82706 |     181349
    num misses                       |     104710 |      56646 |       2270 |       5854
    miss rate                        |     31.12% |     52.92% |      2.74% |      3.23%
    mpki                             |       0.42 |       0.11 |       0.00 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   20925725 |   47127952 |   86065721 |   94988429
    num cache misses                 |      41273 |      65226 |      16589 |    1300977
    miss rate                        |      0.20% |      0.14% |      0.02% |      1.37%
    mpki                             |       0.17 |       0.12 |       0.02 |       1.56
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   68803935 |  206227880 |  275514123 |  349355381
    num cache misses                 |    3701054 |    5229526 |    7376995 |    3040821
    miss rate                        |      5.38% |      2.54% |      2.68% |      0.87%
    mpki                             |      14.80 |       9.92 |       8.22 |       3.64
  Cache L2                           |            |            |            |           
    num cache accesses               |    3771385 |    5295315 |    7425779 |    4351427
    num cache misses                 |    3473901 |    3709307 |     271692 |    1724449
    miss rate                        |     92.11% |     70.05% |      3.66% |     39.63%
    mpki                             |      13.90 |       7.04 |       0.30 |       2.06
  Cache L3                           |            |            |            |           
    num cache accesses               |    3503039 |    3710479 |     305184 |    1734323
    num cache misses                 |    2705702 |    3545549 |     194458 |     192269
    miss rate                        |     77.24% |     95.56% |     63.72% |     11.09%
    mpki                             |      10.82 |       6.73 |       0.22 |       0.23
DRAM summary                         |            |            |            |           
  num dram accesses                  |    7846127 |          0 |          0 |          0
  average dram access latency (ns)   |     114.69 |        inf |        inf |        inf
  average dram queueing delay        |       4.68 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     40.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
